,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary
6302,35-39,Man,Thailand,Doctoral degree,Machine Learning Engineer,1-3 years,5,2-3 years,Energy/Mining,"10,000 or more employees",0,"20,000-24,999"
6303,18-21,Man,India,Master’s degree,Data Scientist,3-5 years,5,2-3 years,Academics/Education,0-49 employees,0,0-999
6304,22-24,Man,Sri Lanka,Bachelor’s degree,Software Engineer,< 1 years,2,No experience,Online Business/Internet-based Sales,0-49 employees,3-4,0-999
6305,22-24,Man,Brazil,Master’s degree,Student,3-5 years,3,3-4 years,,,,nan
6306,18-21,Man,India,Bachelor’s degree,Student,5-10 years,1,Under 1 year,,,,nan
6307,22-24,Man,Indonesia,Bachelor’s degree,Currently not employed,< 1 years,2,No experience,,,,nan
6308,70+,Woman,Malaysia,Professional doctorate,Data Scientist,No experience,0,,Academics/Education,0-49 employees,1-2,"4,000-4,999"
6309,22-24,Man,India,Master’s degree,Data Analyst,1-3 years,3,1-2 years,Insurance/Risk Assessment,"10,000 or more employees",20+,"5,000-7,499"
6310,22-24,Other,Spain,Bachelor’s degree,Currently not employed,5-10 years,2,Under 1 year,,,,nan
6311,25-29,Man,France,Doctoral degree,Research Scientist,5-10 years,1,Under 1 year,Academics/Education,"10,000 or more employees",20+,"30,000-39,999"
6312,50-54,Man,UK,Doctoral degree,Currently not employed,10-20 years,4,1-2 years,,,,nan
6313,30-34,Man,Canada,Master’s degree,Product Manager,10-20 years,3,Under 1 year,Computers/Technology,"10,000 or more employees",20+,"70,000-79,999"
6314,35-39,Man,Nigeria,Bachelor’s degree,Currently not employed,1-3 years,1,No experience,,,,nan
6315,30-34,Man,Nigeria,Master’s degree,Data Analyst,1-3 years,3,No experience,Broadcasting/Communications,"1000-9,999 employees",20+,0-999
6316,18-21,Woman,India,Master’s degree,Student,1-3 years,1,Under 1 year,,,,nan
6317,35-39,Man,Other,Master’s degree,Business Analyst,3-5 years,1,3-4 years,Computers/Technology,250-999 employees,3-4,"2,000-2,999"
6318,35-39,Man,Germany,Master’s degree,Data Analyst,5-10 years,2,No experience,Retail/Sales,"1000-9,999 employees",0,"40,000-49,999"
6319,30-34,Woman,Other,Master’s degree,Other,10-20 years,4,Under 1 year,Academics/Education,50-249 employees,0,"5,000-7,499"
6320,22-24,Woman,USA,Master’s degree,Student,3-5 years,3,,,,,nan
6321,45-49,Man,Belgium,Bachelor’s degree,Data Analyst,10-20 years,3,3-4 years,Accounting/Finance,"1000-9,999 employees",3-4,"60,000-69,999"
6322,22-24,Man,India,Bachelor’s degree,Currently not employed,3-5 years,9,2-3 years,,,,nan
6323,30-34,Man,Turkey,High school,Other,3-5 years,1,,,,,nan
6324,30-34,Man,South Korea,Bachelor’s degree,Business Analyst,< 1 years,1,Under 1 year,Accounting/Finance,0-49 employees,1-2,"4,000-4,999"
6325,22-24,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,2,2-3 years,Computers/Technology,"10,000 or more employees",0,0-999
6326,25-29,Man,India,Master’s degree,Developer Relations/Advocacy,1-3 years,6,,,,,nan
6327,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,Under 1 year,Computers/Technology,"10,000 or more employees",0,"10,000-14,999"
6328,22-24,Man,Morocco,I prefer not to answer,Data Scientist,1-3 years,5,2-3 years,Accounting/Finance,"10,000 or more employees",20+,0-999
6329,18-21,Man,Viet Nam,Some college no bachelor,Student,< 1 years,1,Under 1 year,,,,nan
6330,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,1,Under 1 year,Online Service/Internet-based Services,0-49 employees,1-2,0-999
6331,18-21,Man,Philippines,High school,Data Analyst,< 1 years,2,Under 1 year,Online Service/Internet-based Services,250-999 employees,0,"3,000-3,999"
6332,22-24,Man,Viet Nam,Some college no bachelor,Data Analyst,< 1 years,2,Under 1 year,Insurance/Risk Assessment,"1000-9,999 employees",1-2,0-999
6333,25-29,Man,Malaysia,Some college no bachelor,Currently not employed,< 1 years,2,Under 1 year,,,,nan
6334,35-39,Man,India,Master’s degree,Student,10-20 years,2,5-10 years,,,,nan
6335,18-21,Woman,Kenya,Bachelor’s degree,Student,< 1 years,2,Under 1 year,,,,nan
6336,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,1,No experience,,,,nan
6337,22-24,Man,India,Doctoral degree,Student,< 1 years,3,No experience,,,,nan
6338,18-21,Woman,Indonesia,Bachelor’s degree,Student,No experience,0,,,,,nan
6339,22-24,Man,India,Master’s degree,Data Engineer,3-5 years,2,,,,,nan
6340,22-24,Woman,India,I prefer not to answer,Student,< 1 years,4,Under 1 year,,,,nan
6341,25-29,Man,Egypt,Bachelor’s degree,Software Engineer,5-10 years,2,1-2 years,Academics/Education,50-249 employees,0,nan
6342,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,1,No experience,,,,nan
6343,45-49,Man,Poland,Doctoral degree,Research Scientist,1-3 years,2,1-2 years,Academics/Education,"1000-9,999 employees",0,"10,000-14,999"
6344,60-69,Man,Australia,Doctoral degree,Currently not employed,20+ years,1,20 or more years,,,,nan
6345,35-39,Man,Hong Kong,Doctoral degree,Machine Learning Engineer,5-10 years,2,4-5 years,Hospitality/Entertainment/Sports,0-49 employees,3-4,"90,000-99,999"
6346,35-39,Man,Italy,Doctoral degree,Software Engineer,10-20 years,6,3-4 years,Computers/Technology,0-49 employees,0,"25,000-29,999"
6347,35-39,Man,Italy,Doctoral degree,Data Scientist,3-5 years,3,3-4 years,Academics/Education,0-49 employees,1-2,"15,000-19,999"
6348,30-34,Man,Japan,Master’s degree,Currently not employed,< 1 years,1,Under 1 year,,,,nan
6349,22-24,Man,Malaysia,Doctoral degree,Research Scientist,3-5 years,3,2-3 years,Academics/Education,"10,000 or more employees",20+,"5,000-7,499"
6350,40-44,Man,Argentina,Master’s degree,Data Scientist,3-5 years,2,4-5 years,Online Business/Internet-based Sales,"10,000 or more employees",20+,"2,000-2,999"
6351,22-24,Man,Russia,Bachelor’s degree,Software Engineer,1-3 years,2,1-2 years,Manufacturing/Fabrication,0-49 employees,3-4,"3,000-3,999"
6352,22-24,Man,Russia,Master’s degree,Student,1-3 years,3,,,,,nan
6353,22-24,Man,South Africa,Master’s degree,Data Scientist,3-5 years,4,,,,,nan
6354,40-44,Man,Ukraine,Master’s degree,Program/Project Manager,5-10 years,3,Under 1 year,Academics/Education,50-249 employees,1-2,"5,000-7,499"
6355,22-24,Man,Turkey,Master’s degree,Student,1-3 years,1,1-2 years,,,,nan
6356,60-69,Man,Other,Master’s degree,Business Analyst,< 1 years,1,Under 1 year,Government/Public Service,50-249 employees,0,0-999
6357,22-24,Man,India,High school,Currently not employed,1-3 years,3,Under 1 year,,,,nan
6358,25-29,Woman,Iran,Master’s degree,Machine Learning Engineer,1-3 years,1,2-3 years,Computers/Technology,50-249 employees,5-9,"5,000-7,499"
6359,18-21,Man,India,Bachelor’s degree,Student,5-10 years,7,Under 1 year,,,,nan
6360,25-29,Man,India,I prefer not to answer,Other,1-3 years,2,No experience,Other,0-49 employees,,nan
6361,22-24,Man,Bangladesh,Bachelor’s degree,Currently not employed,1-3 years,3,,,,,nan
6362,22-24,Woman,Iraq,Bachelor’s degree,Data Analyst,1-3 years,4,,,,,nan
6363,30-34,Man,UK,Bachelor’s degree,Software Engineer,5-10 years,2,1-2 years,,,,nan
6364,18-21,Man,India,Bachelor’s degree,Student,< 1 years,3,Under 1 year,,,,nan
6365,30-34,Man,Indonesia,Doctoral degree,Other,< 1 years,1,Under 1 year,Energy/Mining,50-249 employees,0,"15,000-19,999"
6366,18-21,Man,Uganda,Bachelor’s degree,Currently not employed,3-5 years,4,1-2 years,,,,nan
6367,25-29,Man,Ethiopia,Master’s degree,Machine Learning Engineer,5-10 years,8,2-3 years,Academics/Education,"1000-9,999 employees",15-19,0-999
6368,45-49,Man,USA,Doctoral degree,Data Scientist,5-10 years,4,5-10 years,Marketing/CRM,250-999 employees,3-4,"125,000-149,999"
6369,25-29,Man,Other,Bachelor’s degree,Software Engineer,3-5 years,3,Under 1 year,Computers/Technology,50-249 employees,0,"40,000-49,999"
6370,35-39,Man,South Korea,Bachelor’s degree,Software Engineer,10-20 years,2,4-5 years,Online Service/Internet-based Services,0-49 employees,0,"80,000-89,999"
6371,22-24,Woman,India,Master’s degree,Software Engineer,3-5 years,4,1-2 years,Computers/Technology,"10,000 or more employees",20+,"4,000-4,999"
6372,22-24,Man,India,Bachelor’s degree,Other,< 1 years,1,Under 1 year,Computers/Technology,"10,000 or more employees",1-2,"4,000-4,999"
6373,22-24,Woman,France,Bachelor’s degree,Student,1-3 years,3,No experience,,,,nan
6374,22-24,Man,Other,Master’s degree,Data Scientist,< 1 years,2,Under 1 year,Online Business/Internet-based Sales,0-49 employees,3-4,"5,000-7,499"
6375,30-34,Man,UK,Doctoral degree,Currently not employed,5-10 years,1,2-3 years,,,,nan
6376,25-29,Man,Nigeria,Bachelor’s degree,Data Analyst,1-3 years,2,No experience,Academics/Education,250-999 employees,1-2,0-999
6377,30-34,Man,Ethiopia,Master’s degree,Software Engineer,3-5 years,1,Under 1 year,Academics/Education,0-49 employees,0,0-999
6378,18-21,Man,Pakistan,Bachelor’s degree,Student,3-5 years,1,1-2 years,,,,nan
6379,25-29,Man,Peru,Master’s degree,Student,3-5 years,7,1-2 years,,,,nan
6380,18-21,Man,India,Bachelor’s degree,Student,1-3 years,1,1-2 years,,,,nan
6381,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,2,,,,,nan
6382,22-24,Woman,Japan,Master’s degree,Student,1-3 years,1,Under 1 year,,,,nan
6383,18-21,Man,Russia,Bachelor’s degree,Student,3-5 years,3,1-2 years,,,,nan
6384,18-21,Woman,India,Bachelor’s degree,Software Engineer,3-5 years,5,Under 1 year,Computers/Technology,"10,000 or more employees",20+,"5,000-7,499"
6385,18-21,Man,India,Bachelor’s degree,Student,1-3 years,3,,,,,nan
6386,18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,4,Under 1 year,Non-profit/Service,250-999 employees,20+,0-999
6387,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,2,Under 1 year,,,,nan
6388,22-24,Woman,India,Bachelor’s degree,Data Scientist,3-5 years,2,3-4 years,Computers/Technology,"1000-9,999 employees",15-19,"15,000-19,999"
6389,22-24,Woman,Tunisia,Master’s degree,Software Engineer,1-3 years,7,,,,,nan
6390,18-21,Woman,India,High school,Student,< 1 years,1,Under 1 year,,,,nan
6391,30-34,Man,Japan,Master’s degree,Research Scientist,5-10 years,4,4-5 years,Manufacturing/Fabrication,"10,000 or more employees",10-14,0-999
6392,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,5,Under 1 year,,,,nan
6393,25-29,Man,Mexico,Doctoral degree,Software Engineer,1-3 years,1,1-2 years,Manufacturing/Fabrication,0-49 employees,1-2,"10,000-14,999"
6394,45-49,Man,Nigeria,Master’s degree,Other,3-5 years,2,1-2 years,Energy/Mining,"1000-9,999 employees",15-19,"40,000-49,999"
6395,25-29,Man,Germany,Bachelor’s degree,Currently not employed,< 1 years,4,Under 1 year,,,,nan
6396,25-29,Man,India,Master’s degree,Data Analyst,No experience,0,,Accounting/Finance,50-249 employees,1-2,"7,500-9,999"
6397,50-54,Man,Russia,Doctoral degree,Business Analyst,< 1 years,1,No experience,Accounting/Finance,"10,000 or more employees",20+,"60,000-69,999"
6398,18-21,Man,India,Master’s degree,Student,1-3 years,3,Under 1 year,,,,nan
6399,60-69,Man,Russia,Master’s degree,Product Manager,20+ years,2,Under 1 year,Retail/Sales,50-249 employees,0,"40,000-49,999"
6400,25-29,Man,Other,Master’s degree,Data Scientist,< 1 years,1,Under 1 year,Academics/Education,0-49 employees,1-2,0-999
6401,45-49,Man,USA,Master’s degree,Other,20+ years,4,5-10 years,Manufacturing/Fabrication,"10,000 or more employees",10-14,"125,000-149,999"
6402,30-34,Man,China,Master’s degree,Machine Learning Engineer,5-10 years,4,4-5 years,Computers/Technology,"10,000 or more employees",5-9,"100,000-124,999"
6403,18-21,Woman,India,Master’s degree,Student,1-3 years,4,1-2 years,,,,nan
6404,22-24,Man,India,Master’s degree,Software Engineer,< 1 years,2,No experience,Academics/Education,0-49 employees,0,0-999
6405,30-34,Man,Iraq,Bachelor’s degree,Other,< 1 years,1,No experience,Non-profit/Service,"10,000 or more employees",3-4,"7,500-9,999"
6406,18-21,Man,Denmark,Bachelor’s degree,Data Scientist,3-5 years,1,Under 1 year,Other,0-49 employees,0,0-999
6407,30-34,Man,China,Some college no bachelor,Student,< 1 years,1,1-2 years,,,,nan
6408,35-39,Man,Germany,Doctoral degree,Data Scientist,10-20 years,2,10-20 years,Online Business/Internet-based Sales,250-999 employees,3-4,"80,000-89,999"
6409,18-21,Woman,India,Some college no bachelor,Student,< 1 years,2,Under 1 year,,,,nan
6410,35-39,Man,Peru,Master’s degree,Software Engineer,3-5 years,3,1-2 years,Retail/Sales,0-49 employees,3-4,"15,000-19,999"
6411,22-24,Man,Other,Some college no bachelor,Student,< 1 years,2,No experience,,,,nan
6412,35-39,Man,USA,Doctoral degree,Data Scientist,10-20 years,2,4-5 years,Energy/Mining,"10,000 or more employees",20+,"150,000-199,999"
6413,22-24,Other,India,Bachelor’s degree,Software Engineer,1-3 years,3,Under 1 year,Computers/Technology,250-999 employees,3-4,"7,500-9,999"
6414,30-34,Other,USA,High school,Currently not employed,< 1 years,3,No experience,,,,nan
6415,30-34,Woman,USA,Master’s degree,Business Analyst,< 1 years,3,Under 1 year,Shipping/Transportation,0-49 employees,10-14,nan
6416,18-21,Man,Indonesia,Some college no bachelor,Student,< 1 years,1,Under 1 year,,,,nan
6417,50-54,Man,Portugal,Professional doctorate,Research Scientist,10-20 years,1,3-4 years,Academics/Education,"1000-9,999 employees",10-14,"7,500-9,999"
6418,18-21,Man,India,Bachelor’s degree,Student,1-3 years,5,Under 1 year,,,,nan
6419,35-39,Man,Morocco,Doctoral degree,Machine Learning Engineer,1-3 years,4,1-2 years,Computers/Technology,0-49 employees,0,0-999
6420,18-21,Man,Ukraine,Bachelor’s degree,Data Scientist,1-3 years,2,1-2 years,Computers/Technology,0-49 employees,0,nan
6421,18-21,Man,India,Master’s degree,Student,1-3 years,4,1-2 years,,,,nan
6422,25-29,Woman,Brazil,Master’s degree,Data Scientist,10-20 years,3,4-5 years,Energy/Mining,"10,000 or more employees",20+,"30,000-39,999"
6423,25-29,Man,Nigeria,Bachelor’s degree,Data Scientist,< 1 years,1,Under 1 year,Accounting/Finance,0-49 employees,1-2,"1,000-1,999"
6424,22-24,Man,Other,Master’s degree,Student,1-3 years,1,2-3 years,,,,nan
6425,18-21,Other,China,Bachelor’s degree,Student,1-3 years,2,No experience,,,,nan
6426,30-34,Man,Hong Kong,Bachelor’s degree,Data Scientist,5-10 years,1,5-10 years,Academics/Education,"1000-9,999 employees",20+,"100,000-124,999"
6427,22-24,Man,Taiwan,Master’s degree,Student,1-3 years,2,Under 1 year,,,,nan
6428,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,5,2-3 years,Computers/Technology,"1000-9,999 employees",20+,"20,000-24,999"
6429,22-24,Man,Nigeria,Bachelor’s degree,Student,< 1 years,2,Under 1 year,,,,nan
6430,25-29,Man,Germany,Bachelor’s degree,Student,< 1 years,3,Under 1 year,,,,nan
6431,25-29,Man,Taiwan,Master’s degree,Software Engineer,3-5 years,4,4-5 years,Manufacturing/Fabrication,50-249 employees,3-4,"20,000-24,999"
6432,18-21,Man,Brazil,Some college no bachelor,Student,< 1 years,2,,,,,nan
6433,22-24,Man,India,Bachelor’s degree,Data Scientist,< 1 years,2,Under 1 year,Accounting/Finance,0-49 employees,0,"40,000-49,999"
6434,22-24,Man,India,Bachelor’s degree,Student,3-5 years,6,Under 1 year,,,,nan
6435,18-21,Man,China,Some college no bachelor,Data Analyst,< 1 years,4,No experience,Academics/Education,0-49 employees,0,0-999
6436,25-29,Man,Morocco,Master’s degree,Data Analyst,5-10 years,1,No experience,Energy/Mining,0-49 employees,1-2,"10,000-14,999"
6437,25-29,Woman,India,I prefer not to answer,Other,No experience,0,,Computers/Technology,"10,000 or more employees",5-9,"2,000-2,999"
6438,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years,3,Under 1 year,Accounting/Finance,"1000-9,999 employees",20+,nan
6439,18-21,Man,Malaysia,Bachelor’s degree,Student,< 1 years,4,Under 1 year,,,,nan
6440,22-24,Man,Germany,Master’s degree,Data Scientist,1-3 years,1,2-3 years,Computers/Technology,0-49 employees,3-4,"10,000-14,999"
6441,22-24,Woman,Other,Doctoral degree,Business Analyst,No experience,0,,Accounting/Finance,250-999 employees,3-4,"4,000-4,999"
6442,30-34,Man,Germany,Doctoral degree,Research Scientist,10-20 years,2,5-10 years,Academics/Education,"1000-9,999 employees",20+,"60,000-69,999"
6443,18-21,Man,Japan,Bachelor’s degree,Student,3-5 years,4,,,,,nan
6444,18-21,Woman,China,Some college no bachelor,Student,< 1 years,2,1-2 years,,,,nan
6445,25-29,Man,China,Doctoral degree,Machine Learning Engineer,1-3 years,3,2-3 years,Computers/Technology,"10,000 or more employees",15-19,"60,000-69,999"
6446,22-24,Woman,India,Bachelor’s degree,Business Analyst,1-3 years,1,Under 1 year,Computers/Technology,250-999 employees,1-2,"7,500-9,999"
6447,25-29,Woman,South Korea,Bachelor’s degree,Data Analyst,1-3 years,1,2-3 years,Government/Public Service,0-49 employees,3-4,0-999
6448,22-24,Man,Other,Master’s degree,Student,1-3 years,3,Under 1 year,,,,nan
6449,22-24,Woman,Italy,Bachelor’s degree,Data Scientist,5-10 years,2,Under 1 year,Other,"10,000 or more employees",3-4,0-999
6450,50-54,Man,UK,Bachelor’s degree,Data Analyst,1-3 years,3,1-2 years,Government/Public Service,250-999 employees,20+,"40,000-49,999"
6451,22-24,Man,India,Master’s degree,Student,< 1 years,3,Under 1 year,,,,nan
6452,45-49,Man,Spain,Doctoral degree,Data Analyst,5-10 years,4,5-10 years,Academics/Education,"1000-9,999 employees",5-9,"125,000-149,999"
6453,45-49,Man,Other,Doctoral degree,Research Scientist,20+ years,3,10-20 years,Academics/Education,250-999 employees,20+,"60,000-69,999"
6454,40-44,Woman,UK,Master’s degree,Data Analyst,1-3 years,4,1-2 years,Marketing/CRM,"10,000 or more employees",20+,"40,000-49,999"
6455,35-39,Man,USA,Master’s degree,Other,10-20 years,7,Under 1 year,Medical/Pharmaceutical,"1000-9,999 employees",20+,"150,000-199,999"
6456,25-29,Man,Italy,Master’s degree,Data Analyst,3-5 years,2,2-3 years,Insurance/Risk Assessment,"1000-9,999 employees",5-9,"30,000-39,999"
6457,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,1-2 years,Computers/Technology,"10,000 or more employees",3-4,"7,500-9,999"
6458,25-29,Man,Japan,High school,Software Engineer,3-5 years,3,2-3 years,Accounting/Finance,250-999 employees,3-4,"40,000-49,999"
6459,30-34,Man,India,Master’s degree,Other,3-5 years,3,Under 1 year,Computers/Technology,"10,000 or more employees",20+,"15,000-19,999"
6460,45-49,Man,Spain,Doctoral degree,Research Scientist,1-3 years,3,No experience,Academics/Education,"1000-9,999 employees",0,"10,000-14,999"
6461,22-24,Man,India,Master’s degree,Currently not employed,1-3 years,1,Under 1 year,,,,nan
6462,40-44,Man,India,Master’s degree,Statistician,No experience,0,,Medical/Pharmaceutical,"10,000 or more employees",3-4,"60,000-69,999"
6463,35-39,Man,France,Doctoral degree,Software Engineer,10-20 years,8,1-2 years,Online Business/Internet-based Sales,0-49 employees,3-4,nan
6464,50-54,Woman,USA,Master’s degree,Other,3-5 years,1,No experience,Medical/Pharmaceutical,50-249 employees,0,"100,000-124,999"
6465,45-49,Man,USA,Doctoral degree,Data Scientist,10-20 years,3,10-20 years,Government/Public Service,0-49 employees,5-9,"150,000-199,999"
6466,18-21,Other,India,Bachelor’s degree,Student,1-3 years,7,1-2 years,,,,nan
6467,22-24,Woman,UK,Master’s degree,Other,1-3 years,1,Under 1 year,,,,nan
6468,35-39,Man,France,Master’s degree,Business Analyst,3-5 years,2,Under 1 year,Retail/Sales,"10,000 or more employees",0,"90,000-99,999"
6469,55-59,Man,Japan,Bachelor’s degree,Research Scientist,1-3 years,3,Under 1 year,Manufacturing/Fabrication,50-249 employees,1-2,"60,000-69,999"
6470,30-34,Man,Brazil,Bachelor’s degree,Program/Project Manager,3-5 years,2,No experience,Accounting/Finance,"1000-9,999 employees",0,"20,000-24,999"
6471,18-21,Man,India,Bachelor’s degree,Student,1-3 years,4,,,,,nan
6472,25-29,Man,Turkey,Master’s degree,Research Scientist,1-3 years,4,2-3 years,Computers/Technology,0-49 employees,1-2,0-999
6473,25-29,Man,Spain,Bachelor’s degree,Machine Learning Engineer,1-3 years,2,Under 1 year,Medical/Pharmaceutical,"1000-9,999 employees",5-9,"5,000-7,499"
6474,30-34,Man,Greece,Master’s degree,Business Analyst,< 1 years,1,Under 1 year,Broadcasting/Communications,"10,000 or more employees",20+,"15,000-19,999"
6475,22-24,Man,Bangladesh,Bachelor’s degree,Currently not employed,1-3 years,1,No experience,,,,nan
6476,18-21,Woman,China,Bachelor’s degree,Student,1-3 years,2,,,,,nan
6477,40-44,Woman,Turkey,Bachelor’s degree,Student,5-10 years,1,No experience,,,,nan
6478,40-44,Man,India,Bachelor’s degree,Machine Learning Engineer,10-20 years,2,Under 1 year,Computers/Technology,0-49 employees,1-2,nan
6479,22-24,Woman,Sri Lanka,Some college no bachelor,Software Engineer,1-3 years,4,Under 1 year,Government/Public Service,0-49 employees,3-4,0-999
6480,30-34,Man,India,Master’s degree,Currently not employed,< 1 years,2,,,,,nan
6481,35-39,Man,USA,Bachelor’s degree,Data Analyst,1-3 years,1,1-2 years,Computers/Technology,"10,000 or more employees",20+,"100,000-124,999"
6482,18-21,Man,India,Bachelor’s degree,Student,< 1 years,2,Under 1 year,,,,nan
6483,45-49,Woman,Netherlands,Doctoral degree,Other,20+ years,3,2-3 years,Computers/Technology,"10,000 or more employees",3-4,"125,000-149,999"
6484,18-21,Woman,India,Master’s degree,Data Scientist,3-5 years,3,Under 1 year,Other,0-49 employees,,nan
6485,25-29,Woman,India,Master’s degree,Data Analyst,1-3 years,2,Under 1 year,Other,0-49 employees,1-2,"3,000-3,999"
6486,18-21,Man,India,Bachelor’s degree,Student,1-3 years,7,,,,,nan
6487,18-21,Man,India,Bachelor’s degree,Student,1-3 years,2,1-2 years,,,,nan
6488,35-39,Man,Viet Nam,Master’s degree,Software Engineer,10-20 years,6,10-20 years,Online Business/Internet-based Sales,"1000-9,999 employees",10-14,"150,000-199,999"
6489,30-34,Man,Egypt,I prefer not to answer,Data Scientist,No experience,0,,Retail/Sales,"1000-9,999 employees",0,0-999
6490,22-24,Man,India,Master’s degree,Currently not employed,1-3 years,1,Under 1 year,,,,nan
6491,50-54,Man,France,Master’s degree,Other,20+ years,6,1-2 years,Accounting/Finance,0-49 employees,1-2,0-999
6492,18-21,Man,Viet Nam,Bachelor’s degree,Currently not employed,< 1 years,1,No experience,,,,nan
6493,35-39,Man,India,Master’s degree,Data Analyst,1-3 years,2,Under 1 year,Computers/Technology,0-49 employees,1-2,"10,000-14,999"
6494,25-29,Man,India,Bachelor’s degree,Data Analyst,3-5 years,3,Under 1 year,Computers/Technology,"10,000 or more employees",0,"5,000-7,499"
6495,45-49,Man,South Korea,Bachelor’s degree,Other,< 1 years,2,No experience,Academics/Education,50-249 employees,0,"50,000-59,999"
6496,50-54,Man,Tunisia,Master’s degree,Software Engineer,3-5 years,1,No experience,Manufacturing/Fabrication,50-249 employees,0,"7,500-9,999"
6497,50-54,Man,Peru,Master’s degree,Program/Project Manager,1-3 years,1,1-2 years,Computers/Technology,0-49 employees,1-2,0-999
6498,40-44,Man,Other,High school,Business Analyst,10-20 years,2,1-2 years,Shipping/Transportation,"10,000 or more employees",5-9,"50,000-59,999"
6499,45-49,Man,Ecuador,I prefer not to answer,Currently not employed,5-10 years,3,,,,,nan
6500,30-34,Man,Canada,Master’s degree,Developer Relations/Advocacy,5-10 years,2,2-3 years,Computers/Technology,,,nan
6501,22-24,Man,Spain,Bachelor’s degree,Student,3-5 years,5,1-2 years,,,,nan
6502,25-29,Man,India,Bachelor’s degree,Data Analyst,No experience,0,,Online Service/Internet-based Services,"10,000 or more employees",20+,0-999
6503,50-54,Man,Australia,Master’s degree,Data Analyst,20+ years,2,No experience,Government/Public Service,"10,000 or more employees",5-9,"70,000-79,999"
6504,22-24,Man,USA,Master’s degree,Student,1-3 years,2,Under 1 year,,,,nan
6505,35-39,Man,Brazil,Master’s degree,Currently not employed,< 1 years,2,Under 1 year,,,,nan
6506,25-29,Man,Turkey,Bachelor’s degree,Data Scientist,3-5 years,1,3-4 years,Computers/Technology,250-999 employees,20+,"60,000-69,999"
6507,22-24,Man,Israel,Bachelor’s degree,Student,3-5 years,3,1-2 years,,,,nan
6508,25-29,Man,Peru,Bachelor’s degree,Business Analyst,1-3 years,2,1-2 years,Marketing/CRM,0-49 employees,0,"3,000-3,999"
6509,18-21,Man,USA,Bachelor’s degree,Student,< 1 years,2,Under 1 year,,,,nan
6510,30-34,Man,China,Doctoral degree,Research Scientist,5-10 years,2,1-2 years,Academics/Education,"1000-9,999 employees",3-4,"30,000-39,999"
6511,18-21,Man,India,Bachelor’s degree,Student,1-3 years,3,1-2 years,,,,nan
6512,30-34,Woman,India,Master’s degree,Data Analyst,5-10 years,3,1-2 years,Hospitality/Entertainment/Sports,50-249 employees,5-9,0-999
6513,40-44,Man,Egypt,Bachelor’s degree,Program/Project Manager,10-20 years,5,No experience,Manufacturing/Fabrication,50-249 employees,1-2,"10,000-14,999"
6514,22-24,Man,Bangladesh,Bachelor’s degree,Student,3-5 years,2,Under 1 year,,,,nan
6515,45-49,Man,USA,Master’s degree,Data Scientist,10-20 years,3,10-20 years,Computers/Technology,"10,000 or more employees",20+,"1,000,000"
6516,40-44,Woman,UAE,Bachelor’s degree,Currently not employed,No experience,0,,,,,nan
6517,25-29,Man,Kenya,I prefer not to answer,Other,No experience,0,,Accounting/Finance,250-999 employees,1-2,"5,000-7,499"
6518,25-29,Man,Nepal,Bachelor’s degree,Currently not employed,1-3 years,1,2-3 years,,,,nan
6519,35-39,Man,Other,Doctoral degree,Other,10-20 years,3,Under 1 year,Academics/Education,"1000-9,999 employees",3-4,"10,000-14,999"
6520,40-44,Woman,India,Master’s degree,Currently not employed,10-20 years,3,Under 1 year,,,,nan
6521,18-21,Woman,Colombia,Master’s degree,Currently not employed,< 1 years,2,No experience,,,,nan
6522,18-21,Woman,South Korea,Bachelor’s degree,Student,1-3 years,1,Under 1 year,,,,nan
6523,25-29,Man,India,Master’s degree,Student,< 1 years,3,Under 1 year,,,,nan
6524,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,3,No experience,,,,nan
6525,25-29,Man,India,Master’s degree,Currently not employed,< 1 years,2,Under 1 year,,,,nan
6526,22-24,Woman,India,Master’s degree,Student,< 1 years,3,No experience,,,,nan
6527,18-21,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,2,Under 1 year,Other,0-49 employees,0,"3,000-3,999"
6528,35-39,Man,Spain,Master’s degree,Data Engineer,3-5 years,2,1-2 years,Computers/Technology,250-999 employees,0,"30,000-39,999"
6529,25-29,Woman,India,Master’s degree,Currently not employed,< 1 years,2,Under 1 year,,,,nan
6530,60-69,Woman,Japan,Doctoral degree,Research Scientist,20+ years,2,1-2 years,Academics/Education,"1000-9,999 employees",3-4,0-999
6531,50-54,Man,USA,Doctoral degree,Data Scientist,20+ years,4,5-10 years,Shipping/Transportation,"10,000 or more employees",20+,"150,000-199,999"
6532,22-24,Man,India,Bachelor’s degree,Currently not employed,1-3 years,4,1-2 years,,,,nan
