,age,gender,country,education,programming_lang_c,experience_ml,industry,company_size_g,salary_avg,role_group
1321,30-34,Other,USA,Doctoral degree,1,1-2 years,Computers/Technology,Large,175000.0,Data Scientist
1322,22-24,Woman,India,Bachelor’s degree,2,3-4 years,Online Business/Internet-based Sales,Large,17500.0,Data Scientist
1326,22-24,Woman,Romania,Master’s degree,2,Under 1 year,Computers/Technology,Small,1500.0,Data Engineer
1330,22-24,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Small,500.0,Data Engineer
1331,22-24,Man,India,I prefer not to answer,3,1-2 years,Academics/Education,Small,500.0,Data Scientist
1339,40-44,Man,Italy,High school,3,2-3 years,Computers/Technology,Small,35000.0,Data Engineer
1341,25-29,Man,UK,Master’s degree,3,1-2 years,Insurance/Risk Assessment,Large,55000.0,Data Analyst
1342,18-21,Woman,India,Some college,3,1-2 years,Academics/Education,Large,500.0,Data Analyst
1343,45-49,Woman,India,Professional doctorate,4,1-2 years,Academics/Education,Large,500.0,Data Scientist
1346,22-24,Man,India,Master’s degree,3,Under 1 year,Other,Small,500.0,Data Engineer
1353,25-29,Man,India,Master’s degree,3,1-2 years,Online Service/Internet-based Services,Small,500.0,Data Analyst
1359,45-49,Man,UK,Bachelor’s degree,3,3-4 years,Retail/Sales,Large,55000.0,Data Analyst
1362,30-34,Man,India,Master’s degree,2,5-10 years,Manufacturing/Fabrication,Large,35000.0,Data Analyst
1363,40-44,Man,India,Master’s degree,1,Under 1 year,Insurance/Risk Assessment,Large,22500.0,Other
1364,22-24,Man,India,Master’s degree,1,Under 1 year,Academics/Education,Medium,500.0,Data Engineer
1368,45-49,Man,India,Bachelor’s degree,1,1-2 years,Insurance/Risk Assessment,Large,55000.0,Data Analyst
1369,22-24,Man,India,Master’s degree,2,1-2 years,Academics/Education,Small,500.0,Data Scientist
1371,45-49,Man,UK,Master’s degree,2,Under 1 year,Accounting/Finance,Medium,112500.0,Other
1372,25-29,Man,India,Master’s degree,2,4-5 years,Marketing/CRM,Medium,17500.0,Data Scientist
1380,30-34,Man,USA,Some college,2,Under 1 year,Other,Large,75000.0,Data Analyst
1383,35-39,Woman,India,Bachelor’s degree,3,2-3 years,Computers/Technology,Large,22500.0,Data Scientist
1386,25-29,Man,India,Master’s degree,2,2-3 years,Marketing/CRM,Large,27500.0,Data Analyst
1387,22-24,Man,Poland,Master’s degree,1,Under 1 year,Manufacturing/Fabrication,Large,17500.0,Data Analyst
1388,50-54,Man,Spain,Master’s degree,4,5-10 years,Military/Security/Defense,Medium,55000.0,Other
1389,30-34,Man,Poland,Master’s degree,3,3-4 years,Online Service/Internet-based Services,Large,137500.0,Data Engineer
1391,18-21,Man,Russia,Bachelor’s degree,4,1-2 years,Academics/Education,Small,500.0,Data Scientist
1398,35-39,Man,India,Master’s degree,2,3-4 years,Manufacturing/Fabrication,Large,45000.0,Data Scientist
1399,25-29,Man,India,Master’s degree,1,Under 1 year,Academics/Education,Large,4500.0,Other
1401,30-34,Man,Russia,Bachelor’s degree,1,No experience,Other,Small,2500.0,Data Analyst
1403,22-24,Man,India,Master’s degree,1,Under 1 year,Online Service/Internet-based Services,Large,4500.0,Data Engineer
1409,30-34,Man,Netherlands,Master’s degree,1,4-5 years,Retail/Sales,Large,75000.0,Data Scientist
1411,45-49,Man,India,Master’s degree,3,1-2 years,Computers/Technology,Large,1500.0,Data Analyst
1412,35-39,Woman,UK,Master’s degree,1,1-2 years,Computers/Technology,Large,85000.0,Data Engineer
1413,35-39,Man,India,Doctoral degree,3,2-3 years,Academics/Education,Medium,8750.0,Data Engineer
1414,30-34,Woman,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Small,2500.0,Data Scientist
1417,30-34,Man,USA,Bachelor’s degree,3,No experience,Accounting/Finance,Large,85000.0,Data Analyst
1419,55-59,Man,USA,Bachelor’s degree,2,No experience,Broadcasting/Communications,Large,95000.0,Data Analyst
1422,22-24,Man,Russia,Professional doctorate,1,Under 1 year,Manufacturing/Fabrication,Small,4500.0,Other
1423,25-29,Man,India,Bachelor’s degree,1,1-2 years,Marketing/CRM,Medium,12500.0,Data Scientist
1424,18-21,Man,Poland,High school,2,Under 1 year,Hospitality/Entertainment/Sports,Small,500.0,Data Engineer
1425,30-34,Man,France,Master’s degree,1,1-2 years,Medical/Pharmaceutical,Medium,35000.0,Data Analyst
1427,22-24,Man,Denmark,Master’s degree,1,1-2 years,Accounting/Finance,Small,17500.0,Data Scientist
1428,22-24,Man,Belarus,Master’s degree,2,1-2 years,Computers/Technology,Large,12500.0,Data Engineer
1429,35-39,Man,Switzerland,Master’s degree,4,3-4 years,Shipping/Transportation,Large,95000.0,Data Scientist
1431,45-49,Man,India,Doctoral degree,4,2-3 years,Academics/Education,Medium,12500.0,Other
1432,45-49,Woman,USA,Master’s degree,3,Under 1 year,Government/Public Service,Medium,175000.0,Data Analyst
1438,30-34,Man,Russia,Doctoral degree,3,4-5 years,Marketing/CRM,Medium,27500.0,Data Scientist
1439,25-29,Man,Italy,Some college,3,Under 1 year,Shipping/Transportation,Medium,27500.0,Data Engineer
1441,25-29,Man,India,Master’s degree,4,1-2 years,Computers/Technology,Large,500.0,Data Engineer
1443,35-39,Man,Poland,Master’s degree,3,1-2 years,Accounting/Finance,Medium,22500.0,Data Engineer
1448,35-39,Man,Netherlands,Doctoral degree,1,4-5 years,Medical/Pharmaceutical,Small,65000.0,Data Scientist
1450,30-34,Man,India,Master’s degree,3,Under 1 year,Shipping/Transportation,Large,8750.0,Data Engineer
1451,22-24,Man,USA,Bachelor’s degree,2,Under 1 year,Computers/Technology,Large,112500.0,Data Engineer
1452,35-39,Man,Portugal,Master’s degree,4,1-2 years,Computers/Technology,Small,45000.0,Data Engineer
1453,40-44,Man,Sweden,Master’s degree,2,Under 1 year,Academics/Education,Large,3500.0,Data Scientist
1454,18-21,Woman,India,Bachelor’s degree,4,1-2 years,Computers/Technology,Small,500.0,Data Scientist
1456,45-49,Man,Ukraine,Doctoral degree,3,1-2 years,Broadcasting/Communications,Small,22500.0,Data Analyst
1458,30-34,Man,Belgium,Doctoral degree,4,2-3 years,Computers/Technology,Large,75000.0,Data Scientist
1462,22-24,Woman,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,17500.0,Data Engineer
1464,30-34,Man,France,Professional doctorate,1,2-3 years,Medical/Pharmaceutical,Small,112500.0,Other
1467,45-49,Woman,USA,Master’s degree,4,2-3 years,Non-profit/Service,Large,175000.0,Data Scientist
1468,45-49,Man,India,Doctoral degree,2,5-10 years,Academics/Education,Medium,17500.0,Data Scientist
1469,25-29,Man,USA,Master’s degree,2,1-2 years,Energy/Mining,Medium,75000.0,Data Analyst
1471,22-24,Man,Spain,Some college,3,3-4 years,Accounting/Finance,Large,12500.0,Data Scientist
1472,40-44,Man,Ukraine,Master’s degree,1,10-20 years,Academics/Education,Large,3500.0,Data Scientist
1474,18-21,Man,India,Bachelor’s degree,4,No experience,Academics/Education,Small,500.0,Data Analyst
1476,22-24,Man,USA,Master’s degree,2,2-3 years,Computers/Technology,Large,8750.0,Data Engineer
1479,25-29,Man,India,Bachelor’s degree,4,2-3 years,Computers/Technology,Large,17500.0,Data Scientist
1480,35-39,Man,India,Master’s degree,1,1-2 years,Manufacturing/Fabrication,Small,8750.0,Data Analyst
1481,22-24,Woman,India,I prefer not to answer,3,Under 1 year,Computers/Technology,Large,500.0,Data Engineer
1482,30-34,Man,India,Master’s degree,3,2-3 years,Other,Large,22500.0,Data Scientist
1483,18-21,Man,Russia,Master’s degree,1,No experience,Energy/Mining,Medium,3500.0,Data Analyst
1484,30-34,Man,India,Master’s degree,2,Under 1 year,Academics/Education,Medium,4500.0,Other
1485,45-49,Man,India,I prefer not to answer,1,1-2 years,Academics/Education,Large,500.0,Other
1488,35-39,Man,India,Doctoral degree,2,3-4 years,Academics/Education,Medium,500.0,Other
1489,30-34,Man,India,Master’s degree,2,1-2 years,Online Service/Internet-based Services,Large,6250.0,Data Scientist
1493,22-24,Man,India,Master’s degree,3,1-2 years,Academics/Education,Small,500.0,Data Engineer
1497,30-34,Man,India,Bachelor’s degree,2,1-2 years,Computers/Technology,Large,22500.0,Data Analyst
1498,25-29,Man,Belarus,Bachelor’s degree,2,Under 1 year,Energy/Mining,Large,12500.0,Other
1500,30-34,Man,Romania,Doctoral degree,2,5-10 years,Computers/Technology,Medium,55000.0,Data Engineer
1504,25-29,Man,India,Master’s degree,2,No experience,Accounting/Finance,Large,17500.0,Data Analyst
1507,30-34,Man,USA,Bachelor’s degree,3,Under 1 year,Other,Large,45000.0,Data Analyst
1510,25-29,Man,India,Master’s degree,1,Under 1 year,Online Service/Internet-based Services,Medium,6250.0,Data Engineer
1511,25-29,Man,Netherlands,Master’s degree,2,5-10 years,Accounting/Finance,Large,55000.0,Data Analyst
1513,35-39,Woman,USA,Master’s degree,2,Under 1 year,Insurance/Risk Assessment,Large,112500.0,Other
1516,30-34,Man,Germany,Master’s degree,3,5-10 years,Medical/Pharmaceutical,Medium,75000.0,Data Engineer
1520,25-29,Man,India,Master’s degree,3,Under 1 year,Marketing/CRM,Large,6250.0,Data Analyst
1523,25-29,Man,Russia,Master’s degree,4,Under 1 year,Military/Security/Defense,Large,27500.0,Data Analyst
1526,35-39,Man,USA,Master’s degree,2,Under 1 year,Accounting/Finance,Large,112500.0,Data Scientist
1528,30-34,Man,UK,Master’s degree,4,5-10 years,Computers/Technology,Large,85000.0,Data Scientist
1530,25-29,Man,Poland,Master’s degree,2,2-3 years,Retail/Sales,Large,65000.0,Data Scientist
1531,25-29,Woman,Poland,Master’s degree,1,Under 1 year,Online Service/Internet-based Services,Small,500.0,Data Analyst
1533,55-59,Man,USA,Bachelor’s degree,3,2-3 years,Energy/Mining,Small,112500.0,Data Engineer
1534,30-34,Man,Spain,Doctoral degree,2,2-3 years,Academics/Education,Large,22500.0,Data Scientist
1536,30-34,Man,India,Master’s degree,3,5-10 years,Accounting/Finance,Large,45000.0,Data Scientist
1539,25-29,Man,India,Bachelor’s degree,2,Under 1 year,Academics/Education,Medium,500.0,Data Scientist
1540,25-29,Man,Czech Republic,Master’s degree,3,4-5 years,Online Business/Internet-based Sales,Large,27500.0,Data Scientist
1542,40-44,Woman,India,Doctoral degree,3,Under 1 year,Computers/Technology,Medium,55000.0,Data Scientist
1544,22-24,Man,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,500.0,Data Engineer
1548,45-49,Man,Russia,High school,2,Under 1 year,Academics/Education,Small,500.0,Data Scientist
1550,30-34,Man,USA,Doctoral degree,2,4-5 years,Computers/Technology,Medium,175000.0,Data Scientist
1552,55-59,Man,USA,Master’s degree,3,Under 1 year,Retail/Sales,Small,112500.0,Data Analyst
1559,35-39,Man,India,Doctoral degree,2,1-2 years,Academics/Education,Medium,500.0,Other
1560,50-54,Man,Russia,Master’s degree,4,2-3 years,Medical/Pharmaceutical,Small,8750.0,Data Analyst
1563,40-44,Man,Spain,Master’s degree,3,10-20 years,Accounting/Finance,Large,22500.0,Data Analyst
1564,35-39,Woman,USA,Some college,2,Under 1 year,Accounting/Finance,Large,22500.0,Other
1566,55-59,Man,Italy,Master’s degree,2,5-10 years,Computers/Technology,Large,112500.0,Data Engineer
1567,45-49,Man,UK,Master’s degree,2,4-5 years,Retail/Sales,Large,85000.0,Data Scientist
1569,25-29,Woman,USA,Master’s degree,3,Under 1 year,Academics/Education,Large,17500.0,Data Analyst
1572,55-59,Man,Italy,High school,1,3-4 years,Computers/Technology,Large,35000.0,Data Analyst
1573,40-44,Woman,India,Doctoral degree,3,5-10 years,Academics/Education,Large,500.0,Other
1574,45-49,Man,Portugal,Master’s degree,2,2-3 years,Computers/Technology,Large,65000.0,Data Analyst
1575,35-39,Man,India,Master’s degree,4,1-2 years,Computers/Technology,Large,3500.0,Data Analyst
1578,40-44,Woman,Czech Republic,Doctoral degree,2,1-2 years,Computers/Technology,Large,27500.0,Data Scientist
1580,18-21,Man,India,Bachelor’s degree,3,1-2 years,Computers/Technology,Large,500.0,Data Engineer
1584,22-24,Man,India,Bachelor’s degree,1,3-4 years,Online Service/Internet-based Services,Small,6250.0,Data Engineer
1585,40-44,Man,France,Master’s degree,1,Under 1 year,Accounting/Finance,Large,55000.0,Other
1587,30-34,Man,India,Bachelor’s degree,3,Under 1 year,Manufacturing/Fabrication,Medium,3500.0,Other
1589,30-34,Man,India,Master’s degree,2,5-10 years,Online Service/Internet-based Services,Large,45000.0,Data Analyst
1594,25-29,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Large,500.0,Data Analyst
1596,22-24,Woman,Czech Republic,Master’s degree,2,Under 1 year,Retail/Sales,Large,22500.0,Data Engineer
1600,50-54,Man,Netherlands,High school,4,5-10 years,Medical/Pharmaceutical,Small,45000.0,Data Engineer
1602,22-24,Man,India,Bachelor’s degree,2,No experience,Online Service/Internet-based Services,Large,4500.0,Data Analyst
1603,45-49,Man,France,Doctoral degree,3,Under 1 year,Academics/Education,Large,65000.0,Other
1604,35-39,Man,Portugal,Doctoral degree,1,5-10 years,Computers/Technology,Large,75000.0,Data Analyst
1605,18-21,Man,Russia,Some college,3,1-2 years,Academics/Education,Small,500.0,Data Engineer
1608,30-34,Woman,India,Doctoral degree,4,4-5 years,Academics/Education,Small,500.0,Data Analyst
1610,30-34,Man,India,Master’s degree,2,4-5 years,Computers/Technology,Large,27500.0,Data Engineer
1611,22-24,Man,India,Bachelor’s degree,1,Under 1 year,Hospitality/Entertainment/Sports,Medium,1500.0,Data Analyst
1614,40-44,Man,USA,Doctoral degree,2,5-10 years,Computers/Technology,Small,85000.0,Data Scientist
1615,30-34,Man,India,Bachelor’s degree,2,No experience,Computers/Technology,Large,27500.0,Data Engineer
1616,25-29,Man,Germany,Doctoral degree,3,Under 1 year,Academics/Education,Medium,22500.0,Data Scientist
1617,25-29,Man,Italy,Master’s degree,1,2-3 years,Other,Large,35000.0,Data Scientist
1618,30-34,Man,Russia,Bachelor’s degree,1,No experience,Retail/Sales,Medium,22500.0,Data Scientist
1622,25-29,Man,USA,Doctoral degree,2,Under 1 year,Academics/Education,Large,35000.0,Data Scientist
1623,30-34,Man,USA,Master’s degree,2,3-4 years,Accounting/Finance,Large,500.0,Data Scientist
1624,30-34,Man,Switzerland,Master’s degree,1,5-10 years,Other,Large,112500.0,Data Scientist
1625,40-44,Man,Belgium,Bachelor’s degree,3,3-4 years,Academics/Education,Large,2500.0,Data Engineer
1630,30-34,Man,Sweden,Master’s degree,1,5-10 years,Academics/Education,Large,27500.0,Other
1633,35-39,Man,India,Master’s degree,1,1-2 years,Energy/Mining,Large,45000.0,Data Analyst
1634,30-34,Man,Ukraine,Master’s degree,2,Under 1 year,Medical/Pharmaceutical,Small,2500.0,Data Engineer
1635,25-29,Woman,USA,Master’s degree,2,5-10 years,Broadcasting/Communications,Large,112500.0,Data Analyst
1636,25-29,Man,India,Bachelor’s degree,1,No experience,Online Service/Internet-based Services,Small,3500.0,Other
1637,30-34,Man,India,Bachelor’s degree,3,2-3 years,Other,Medium,22500.0,Data Analyst
1639,40-44,Man,Czech Republic,Master’s degree,3,3-4 years,Marketing/CRM,Large,75000.0,Data Engineer
1642,30-34,Man,India,Master’s degree,2,5-10 years,Computers/Technology,Medium,17500.0,Data Scientist
1643,25-29,Man,USA,Master’s degree,2,3-4 years,Computers/Technology,Small,500.0,Data Scientist
1645,22-24,Man,USA,Bachelor’s degree,2,Under 1 year,Retail/Sales,Large,27500.0,Data Engineer
1646,30-34,Man,USA,Master’s degree,3,Under 1 year,Academics/Education,Large,8750.0,Data Analyst
1649,18-21,Man,USA,Bachelor’s degree,2,Under 1 year,Computers/Technology,Small,500.0,Data Scientist
1650,25-29,Man,Russia,I prefer not to answer,3,Under 1 year,Computers/Technology,Small,2500.0,Data Engineer
1652,40-44,Man,India,Master’s degree,3,2-3 years,Computers/Technology,Large,95000.0,Data Engineer
1655,35-39,Man,Germany,Master’s degree,1,Under 1 year,Computers/Technology,Large,137500.0,Data Analyst
1656,22-24,Man,India,Master’s degree,3,No experience,Computers/Technology,Medium,6250.0,Data Engineer
1657,25-29,Man,India,Bachelor’s degree,3,No experience,Insurance/Risk Assessment,Large,500.0,Data Engineer
1659,40-44,Man,India,Master’s degree,3,1-2 years,Computers/Technology,Large,35000.0,Data Analyst
1660,45-49,Man,Spain,Master’s degree,3,1-2 years,Computers/Technology,Small,55000.0,Data Engineer
1661,25-29,Other,Poland,Master’s degree,2,Under 1 year,Marketing/CRM,Large,1500.0,Data Analyst
1662,22-24,Man,India,Bachelor’s degree,2,Under 1 year,Online Business/Internet-based Sales,Large,12500.0,Data Engineer
1664,25-29,Man,Italy,Doctoral degree,2,2-3 years,Marketing/CRM,Small,27500.0,Data Scientist
1666,25-29,Man,Belarus,Master’s degree,2,2-3 years,Accounting/Finance,Large,6250.0,Data Scientist
1667,45-49,Man,France,Doctoral degree,3,5-10 years,Computers/Technology,Large,175000.0,Data Scientist
1668,55-59,Man,India,Doctoral degree,1,Under 1 year,Academics/Education,Small,65000.0,Data Scientist
1671,55-59,Man,UK,Bachelor’s degree,3,Under 1 year,Manufacturing/Fabrication,Medium,65000.0,Data Engineer
1674,25-29,Man,Russia,Master’s degree,1,Under 1 year,Academics/Education,Large,12500.0,Data Scientist
1676,30-34,Man,UK,Master’s degree,2,Under 1 year,Manufacturing/Fabrication,Medium,12500.0,Data Analyst
1678,50-54,Woman,USA,Master’s degree,2,2-3 years,Computers/Technology,Large,500.0,Data Engineer
1686,22-24,Man,Romania,Bachelor’s degree,3,Under 1 year,Broadcasting/Communications,Large,27500.0,Data Analyst
1687,40-44,Other,India,Doctoral degree,3,No experience,Accounting/Finance,Large,500.0,Data Analyst
1690,22-24,Woman,India,I prefer not to answer,2,No experience,Other,Large,500.0,Data Analyst
1691,25-29,Man,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,12500.0,Data Engineer
1693,25-29,Man,India,Master’s degree,3,1-2 years,Computers/Technology,Small,500.0,Data Analyst
1694,55-59,Man,India,Bachelor’s degree,4,Under 1 year,Computers/Technology,Small,12500.0,Data Analyst
1695,25-29,Man,Ireland,Master’s degree,3,2-3 years,Shipping/Transportation,Small,45000.0,Data Engineer
1697,40-44,Man,Germany,Master’s degree,4,10-20 years,Medical/Pharmaceutical,Medium,112500.0,Data Analyst
1698,25-29,Woman,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Small,500.0,Data Engineer
1700,25-29,Man,Poland,I prefer not to answer,1,No experience,Retail/Sales,Large,17500.0,Data Scientist
1703,45-49,Man,Italy,Some college,1,5-10 years,Computers/Technology,Small,35000.0,Data Scientist
1705,22-24,Woman,USA,Bachelor’s degree,1,Under 1 year,Computers/Technology,Small,75000.0,Data Analyst
1706,40-44,Man,France,Master’s degree,3,Under 1 year,Energy/Mining,Small,1500.0,Data Scientist
1707,25-29,Man,Poland,Master’s degree,3,Under 1 year,Accounting/Finance,Large,12500.0,Data Analyst
1709,22-24,Man,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Small,55000.0,Data Analyst
1713,45-49,Man,UK,Bachelor’s degree,2,Under 1 year,Accounting/Finance,Large,112500.0,Other
1716,25-29,Man,India,Bachelor’s degree,3,No experience,Computers/Technology,Large,8750.0,Data Engineer
1719,35-39,Man,USA,Professional doctorate,4,Under 1 year,Academics/Education,Medium,75000.0,Data Analyst
1720,22-24,Man,India,Bachelor’s degree,4,Under 1 year,Computers/Technology,Large,6250.0,Other
1721,25-29,Man,Netherlands,Master’s degree,1,Under 1 year,Other,Small,45000.0,Other
1722,40-44,Man,Germany,Doctoral degree,1,5-10 years,Government/Public Service,Large,65000.0,Other
1723,25-29,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Large,8750.0,Data Scientist
1725,22-24,Man,India,Master’s degree,1,1-2 years,Computers/Technology,Small,8750.0,Data Engineer
1726,25-29,Man,India,Master’s degree,4,Under 1 year,Computers/Technology,Small,500.0,Data Analyst
1731,35-39,Woman,India,Master’s degree,2,1-2 years,Academics/Education,Medium,500.0,Data Scientist
1733,30-34,Man,Czech Republic,Master’s degree,2,5-10 years,Computers/Technology,Small,45000.0,Data Engineer
1736,25-29,Man,USA,Bachelor’s degree,3,2-3 years,Manufacturing/Fabrication,Large,55000.0,Data Analyst
1739,22-24,Woman,India,Master’s degree,3,Under 1 year,Computers/Technology,Large,1500.0,Data Analyst
1741,18-21,Man,India,Master’s degree,3,1-2 years,Computers/Technology,Large,3500.0,Data Analyst
1747,22-24,Man,India,Bachelor’s degree,1,2-3 years,Computers/Technology,Medium,6250.0,Data Engineer
1748,22-24,Man,USA,Bachelor’s degree,2,Under 1 year,Non-profit/Service,Small,45000.0,Data Analyst
1753,40-44,Man,UK,Master’s degree,2,3-4 years,Insurance/Risk Assessment,Large,75000.0,Data Scientist
1755,35-39,Man,Sweden,Doctoral degree,3,2-3 years,Medical/Pharmaceutical,Small,75000.0,Other
1757,30-34,Man,Germany,Bachelor’s degree,3,No experience,Other,Large,55000.0,Data Analyst
1758,30-34,Man,India,Master’s degree,2,No experience,Other,Small,27500.0,Data Analyst
1761,25-29,Man,India,Master’s degree,1,3-4 years,Computers/Technology,Large,22500.0,Data Engineer
1762,50-54,Man,USA,Master’s degree,3,3-4 years,Medical/Pharmaceutical,Large,137500.0,Data Engineer
1764,22-24,Man,India,Master’s degree,1,1-2 years,Manufacturing/Fabrication,Large,12500.0,Data Engineer
1765,25-29,Woman,USA,Master’s degree,1,Under 1 year,Non-profit/Service,Medium,75000.0,Data Analyst
1767,55-59,Man,USA,Doctoral degree,3,2-3 years,Academics/Education,Medium,95000.0,Data Analyst
1769,40-44,Man,Germany,Master’s degree,2,1-2 years,Computers/Technology,Large,85000.0,Data Analyst
1771,22-24,Man,Romania,Bachelor’s degree,2,1-2 years,Other,Large,17500.0,Data Engineer
1772,22-24,Other,India,Bachelor’s degree,1,Under 1 year,Other,Small,500.0,Data Engineer
1774,35-39,Man,UK,Master’s degree,1,10-20 years,Government/Public Service,Large,175000.0,Data Scientist
1775,25-29,Man,India,Master’s degree,2,Under 1 year,Manufacturing/Fabrication,Medium,12500.0,Other
1778,25-29,Woman,Portugal,Master’s degree,1,1-2 years,Academics/Education,Small,500.0,Data Engineer
1779,50-54,Man,UK,Master’s degree,3,1-2 years,Government/Public Service,Small,55000.0,Data Analyst
1781,30-34,Man,Russia,Master’s degree,2,Under 1 year,Energy/Mining,Large,12500.0,Data Engineer
1784,35-39,Man,USA,Doctoral degree,1,5-10 years,Computers/Technology,Medium,175000.0,Data Scientist
1790,30-34,Woman,Germany,Master’s degree,2,Under 1 year,Government/Public Service,Medium,65000.0,Data Analyst
1792,35-39,Woman,Spain,Master’s degree,3,5-10 years,Other,Large,65000.0,Data Scientist
1794,25-29,Woman,India,Bachelor’s degree,2,Under 1 year,Online Business/Internet-based Sales,Small,500.0,Data Scientist
1796,35-39,Man,UK,Master’s degree,3,1-2 years,Accounting/Finance,Medium,75000.0,Data Engineer
1797,25-29,Man,India,Master’s degree,2,1-2 years,Computers/Technology,Large,6250.0,Data Engineer
1802,22-24,Man,UK,Bachelor’s degree,2,2-3 years,Computers/Technology,Medium,85000.0,Other
1804,22-24,Man,India,Bachelor’s degree,1,Under 1 year,Online Service/Internet-based Services,Small,1500.0,Data Scientist
1805,30-34,Man,India,Master’s degree,2,Under 1 year,Other,Small,500.0,Data Engineer
1807,35-39,Woman,Germany,Master’s degree,2,2-3 years,Government/Public Service,Large,112500.0,Data Engineer
1808,30-34,Man,Sweden,Doctoral degree,4,3-4 years,Academics/Education,Medium,35000.0,Data Scientist
1810,40-44,Man,UK,Bachelor’s degree,2,3-4 years,Insurance/Risk Assessment,Large,112500.0,Data Scientist
1811,25-29,Man,Portugal,Doctoral degree,1,4-5 years,Computers/Technology,Large,12500.0,Data Scientist
1816,22-24,Other,India,Bachelor’s degree,4,1-2 years,Computers/Technology,Medium,500.0,Data Engineer
1820,40-44,Man,Italy,Doctoral degree,3,5-10 years,Other,Large,45000.0,Data Scientist
1824,25-29,Man,Netherlands,Master’s degree,2,1-2 years,Shipping/Transportation,Large,65000.0,Data Analyst
1825,22-24,Other,India,Bachelor’s degree,1,Under 1 year,Accounting/Finance,Large,6250.0,Data Analyst
1830,30-34,Man,USA,Master’s degree,2,Under 1 year,Government/Public Service,Large,112500.0,Other
1833,30-34,Man,Russia,Master’s degree,4,1-2 years,Shipping/Transportation,Large,27500.0,Data Engineer
1834,25-29,Man,India,Master’s degree,1,1-2 years,Academics/Education,Small,500.0,Data Scientist
1835,40-44,Man,Germany,Master’s degree,3,Under 1 year,Computers/Technology,Large,112500.0,Data Engineer
1841,30-34,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Medium,1500.0,Data Engineer
1842,18-21,Man,Belarus,Bachelor’s degree,2,Under 1 year,Computers/Technology,Large,6250.0,Data Engineer
1843,25-29,Woman,Spain,Bachelor’s degree,1,No experience,Medical/Pharmaceutical,Large,45000.0,Data Analyst
1844,30-34,Woman,India,Master’s degree,2,3-4 years,Computers/Technology,Small,27500.0,Data Engineer
1845,25-29,Woman,India,Bachelor’s degree,2,2-3 years,Marketing/CRM,Small,500.0,Other
1846,40-44,Man,USA,Master’s degree,1,Under 1 year,Government/Public Service,Large,65000.0,Data Analyst
1847,30-34,Man,India,Bachelor’s degree,4,2-3 years,Other,Large,1500.0,Data Analyst
1848,30-34,Woman,India,Master’s degree,1,Under 1 year,Computers/Technology,Large,500.0,Data Scientist
1851,25-29,Man,India,Bachelor’s degree,3,2-3 years,Accounting/Finance,Large,17500.0,Data Scientist
1853,30-34,Woman,India,Master’s degree,1,No experience,Government/Public Service,Large,500.0,Data Analyst
1858,30-34,Man,Spain,Master’s degree,1,Under 1 year,Energy/Mining,Medium,35000.0,Other
1866,50-54,Man,USA,Some college,2,No experience,Accounting/Finance,Large,45000.0,Other
1869,30-34,Man,Netherlands,Doctoral degree,2,3-4 years,Accounting/Finance,Large,75000.0,Data Scientist
1870,22-24,Woman,India,Bachelor’s degree,2,Under 1 year,Medical/Pharmaceutical,Large,500.0,Data Scientist
1872,25-29,Man,Italy,Master’s degree,2,1-2 years,Academics/Education,Medium,1500.0,Data Scientist
1873,22-24,Man,Ukraine,Master’s degree,3,Under 1 year,Academics/Education,Small,2500.0,Data Engineer
1880,35-39,Man,India,Bachelor’s degree,3,No experience,Computers/Technology,Large,1500.0,Other
1882,40-44,Man,India,Master’s degree,1,Under 1 year,Academics/Education,Large,35000.0,Data Analyst
1883,45-49,Man,India,Master’s degree,1,3-4 years,Computers/Technology,Small,55000.0,Data Engineer
1884,30-34,Man,India,Master’s degree,3,2-3 years,Computers/Technology,Small,6250.0,Data Analyst
1885,30-34,Woman,USA,Master’s degree,3,Under 1 year,Academics/Education,Small,500.0,Data Analyst
1886,22-24,Man,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Large,4500.0,Data Engineer
1887,35-39,Man,USA,Doctoral degree,2,10-20 years,Retail/Sales,Large,175000.0,Data Scientist
1891,35-39,Man,Russia,Doctoral degree,4,2-3 years,Computers/Technology,Small,35000.0,Data Engineer
1893,40-44,Man,India,Master’s degree,2,No experience,Computers/Technology,Large,45000.0,Data Analyst
1896,45-49,Man,Romania,Master’s degree,2,No experience,Manufacturing/Fabrication,Large,12500.0,Data Engineer
1899,18-21,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Small,500.0,Data Scientist
1900,30-34,Man,USA,Doctoral degree,2,1-2 years,Academics/Education,Medium,55000.0,Data Analyst
1901,35-39,Man,India,Master’s degree,3,5-10 years,Other,Large,27500.0,Data Scientist
1902,30-34,Woman,Ukraine,Master’s degree,2,3-4 years,Government/Public Service,Medium,3500.0,Data Engineer
