,age,gender,country,education,experience_prog,programming_lang_c,experience_ml,industry,team_size_g,salary_avg,role_group
3284,30-34,Woman,France,Master’s degree,1-3 years,3,1-2 years,Marketing/CRM,Small,1500.0,Data Analyst
3290,25-29,Man,Poland,Master’s degree,3-5 years,2,4-5 years,Shipping/Transportation,Small,55000.0,Data Analyst
3291,35-39,Woman,Ukraine,Master’s degree,10-20 years,2,10-20 years,Computers/Technology,Large,35000.0,Data Scientist
3297,35-39,Woman,UK,Doctoral degree,5-10 years,1,1-2 years,Academics/Education,No team,500.0,Data Scientist
3299,25-29,Man,Switzerland,Master’s degree,3-5 years,3,2-3 years,Computers/Technology,Large,112500.0,Data Scientist
3305,35-39,Man,Spain,Doctoral degree,1-3 years,1,1-2 years,Academics/Education,No team,1500.0,Data Scientist
3323,35-39,Man,Greece,Master’s degree,5-10 years,1,4-5 years,Computers/Technology,Small,35000.0,Data Engineer
3335,45-49,Man,Ukraine,Doctoral degree,10-20 years,1,Under 1 year,Academics/Education,No team,4500.0,Data Scientist
3343,18-21,Man,Ireland,Some college,10-20 years,4,4-5 years,Retail/Sales,Small,65000.0,Data Engineer
3345,30-34,Man,France,Master’s degree,1-3 years,3,3-4 years,Online Service/Internet-based Services,Small,75000.0,Data Analyst
3351,45-49,Man,France,Master’s degree,20+ years,3,2-3 years,Computers/Technology,Small,95000.0,Data Analyst
3360,25-29,Man,France,Doctoral degree,5-10 years,1,Under 1 year,Academics/Education,Large,35000.0,Data Scientist
3364,35-39,Man,Germany,Master’s degree,5-10 years,2,No experience,Retail/Sales,No team,45000.0,Data Analyst
3366,45-49,Man,Belgium,Bachelor’s degree,10-20 years,3,3-4 years,Accounting/Finance,Small,65000.0,Data Analyst
3374,45-49,Man,Poland,Doctoral degree,1-3 years,2,1-2 years,Academics/Education,No team,12500.0,Data Scientist
3377,35-39,Man,Italy,Doctoral degree,3-5 years,3,3-4 years,Academics/Education,Small,17500.0,Data Scientist
3380,22-24,Man,Russia,Bachelor’s degree,1-3 years,2,1-2 years,Manufacturing/Fabrication,Small,3500.0,Data Engineer
3381,40-44,Man,Ukraine,Master’s degree,5-10 years,3,Under 1 year,Academics/Education,Small,6250.0,Data Analyst
3399,50-54,Man,Russia,Doctoral degree,< 1 years,1,No experience,Accounting/Finance,Large,65000.0,Data Analyst
3405,18-21,Man,Denmark,Bachelor’s degree,3-5 years,1,Under 1 year,Other,No team,500.0,Data Scientist
3406,35-39,Man,Germany,Doctoral degree,10-20 years,2,10-20 years,Online Business/Internet-based Sales,Small,85000.0,Data Scientist
3410,50-54,Man,Portugal,Professional doctorate,10-20 years,1,3-4 years,Academics/Education,Medium,8750.0,Data Scientist
3420,22-24,Man,Germany,Master’s degree,1-3 years,1,2-3 years,Computers/Technology,Small,12500.0,Data Scientist
3421,30-34,Man,Germany,Doctoral degree,10-20 years,2,5-10 years,Academics/Education,Large,65000.0,Data Scientist
3425,22-24,Woman,Italy,Bachelor’s degree,5-10 years,2,Under 1 year,Other,Small,500.0,Data Scientist
3426,50-54,Man,UK,Bachelor’s degree,1-3 years,3,1-2 years,Government/Public Service,Large,45000.0,Data Analyst
3427,45-49,Man,Spain,Doctoral degree,5-10 years,4,5-10 years,Academics/Education,Small,137500.0,Data Analyst
3429,40-44,Woman,UK,Master’s degree,1-3 years,4,1-2 years,Marketing/CRM,Large,45000.0,Data Analyst
3431,25-29,Man,Italy,Master’s degree,3-5 years,2,2-3 years,Insurance/Risk Assessment,Small,35000.0,Data Analyst
3435,45-49,Man,Spain,Doctoral degree,1-3 years,3,No experience,Academics/Education,No team,12500.0,Data Scientist
3438,35-39,Man,France,Master’s degree,3-5 years,2,Under 1 year,Retail/Sales,No team,95000.0,Data Analyst
3442,25-29,Man,Spain,Bachelor’s degree,1-3 years,2,Under 1 year,Medical/Pharmaceutical,Small,6250.0,Data Engineer
3443,30-34,Man,Greece,Master’s degree,< 1 years,1,Under 1 year,Broadcasting/Communications,Large,17500.0,Data Analyst
3446,45-49,Woman,Netherlands,Doctoral degree,20+ years,3,2-3 years,Computers/Technology,Small,137500.0,Other
3464,35-39,Man,Spain,Master’s degree,3-5 years,2,1-2 years,Computers/Technology,No team,35000.0,Data Engineer
3474,45-49,Man,France,I prefer not to answer,20+ years,4,No experience,Computers/Technology,Small,85000.0,Data Engineer
3475,50-54,Man,Germany,Professional doctorate,1-3 years,1,1-2 years,Academics/Education,Large,500.0,Data Scientist
3481,22-24,Man,UK,Master’s degree,< 1 years,1,No experience,Marketing/CRM,Large,35000.0,Data Engineer
3482,30-34,Man,Germany,Doctoral degree,5-10 years,2,2-3 years,Retail/Sales,Large,95000.0,Data Engineer
3483,25-29,Man,Spain,Some college,5-10 years,2,2-3 years,Military/Security/Defense,No team,22500.0,Other
3487,45-49,Man,Italy,Master’s degree,3-5 years,3,4-5 years,Online Business/Internet-based Sales,Small,137500.0,Other
3494,25-29,Man,Poland,Master’s degree,5-10 years,2,3-4 years,Online Business/Internet-based Sales,Medium,55000.0,Data Engineer
3497,25-29,Man,UK,Master’s degree,1-3 years,3,1-2 years,Accounting/Finance,Small,75000.0,Data Scientist
3504,35-39,Man,Spain,Doctoral degree,10-20 years,3,10-20 years,Computers/Technology,Large,95000.0,Data Scientist
3512,50-54,Man,Russia,Doctoral degree,3-5 years,2,2-3 years,Academics/Education,No team,1500.0,Data Scientist
3519,40-44,Man,Ireland,Doctoral degree,1-3 years,1,1-2 years,Academics/Education,Small,55000.0,Data Analyst
3528,30-34,Man,Ukraine,Master’s degree,1-3 years,3,1-2 years,Shipping/Transportation,Large,17500.0,Data Scientist
3529,25-29,Man,Ireland,Doctoral degree,3-5 years,4,Under 1 year,Academics/Education,Large,45000.0,Other
3530,30-34,Woman,Italy,Master’s degree,1-3 years,2,1-2 years,Government/Public Service,No team,500.0,Data Engineer
3533,35-39,Man,Ireland,Master’s degree,< 1 years,1,No experience,Retail/Sales,Medium,45000.0,Data Analyst
3541,35-39,Man,France,Doctoral degree,5-10 years,3,1-2 years,Other,Small,35000.0,Data Scientist
3556,30-34,Woman,Germany,Master’s degree,5-10 years,4,2-3 years,Computers/Technology,Large,85000.0,Data Engineer
3562,22-24,Man,Russia,Master’s degree,3-5 years,1,1-2 years,Academics/Education,No team,12500.0,Data Scientist
3576,25-29,Man,Greece,Master’s degree,1-3 years,2,1-2 years,Other,No team,1500.0,Data Analyst
3594,50-54,Man,Spain,Doctoral degree,20+ years,2,20 or more years,Academics/Education,Large,55000.0,Data Scientist
3597,35-39,Man,France,Doctoral degree,10-20 years,3,10-20 years,Computers/Technology,Small,65000.0,Data Scientist
3608,40-44,Man,Spain,Some college,5-10 years,2,No experience,Energy/Mining,Medium,17500.0,Data Analyst
3627,35-39,Man,Poland,Master’s degree,5-10 years,3,2-3 years,Accounting/Finance,Small,27500.0,Data Scientist
3629,30-34,Man,Russia,Master’s degree,3-5 years,2,1-2 years,Academics/Education,Large,17500.0,Data Engineer
3646,30-34,Man,Russia,Master’s degree,1-3 years,2,1-2 years,Other,Small,35000.0,Data Scientist
3656,40-44,Man,Italy,Bachelor’s degree,10-20 years,4,Under 1 year,Accounting/Finance,Large,35000.0,Data Engineer
3671,50-54,Man,Italy,Doctoral degree,20+ years,2,5-10 years,Academics/Education,Large,55000.0,Data Scientist
3677,22-24,Man,Russia,Bachelor’s degree,< 1 years,2,Under 1 year,Retail/Sales,Small,1500.0,Data Analyst
3678,25-29,Man,Russia,Master’s degree,5-10 years,3,1-2 years,Retail/Sales,Large,137500.0,Data Engineer
3686,25-29,Woman,France,Master’s degree,< 1 years,3,1-2 years,Academics/Education,Small,500.0,Data Scientist
3692,55-59,Man,Germany,Doctoral degree,20+ years,2,5-10 years,Computers/Technology,Small,137500.0,Other
3693,30-34,Man,Poland,Master’s degree,1-3 years,1,Under 1 year,Accounting/Finance,No team,22500.0,Data Analyst
3694,45-49,Man,France,Master’s degree,20+ years,1,5-10 years,Energy/Mining,Large,85000.0,Other
3702,40-44,Man,Portugal,Doctoral degree,3-5 years,3,3-4 years,Academics/Education,No team,55000.0,Data Scientist
3721,22-24,Man,UK,Master’s degree,3-5 years,3,Under 1 year,Medical/Pharmaceutical,Large,45000.0,Data Analyst
3729,25-29,Man,Russia,Bachelor’s degree,5-10 years,4,3-4 years,Computers/Technology,Large,55000.0,Data Engineer
3731,50-54,Man,Poland,High school,10-20 years,1,10-20 years,Government/Public Service,No team,12500.0,Data Analyst
3743,35-39,Man,Russia,Master’s degree,5-10 years,1,1-2 years,Government/Public Service,Large,55000.0,Data Analyst
3748,18-21,Man,Ukraine,Bachelor’s degree,< 1 years,1,1-2 years,Retail/Sales,Small,6250.0,Data Scientist
3752,45-49,Man,Spain,Master’s degree,1-3 years,1,No experience,Manufacturing/Fabrication,Small,1500.0,Data Scientist
3754,25-29,Man,UK,Doctoral degree,5-10 years,1,1-2 years,Computers/Technology,Small,75000.0,Data Scientist
3755,35-39,Man,Spain,Master’s degree,10-20 years,2,1-2 years,Computers/Technology,Large,35000.0,Data Engineer
3758,35-39,Man,Germany,Doctoral degree,3-5 years,2,2-3 years,Medical/Pharmaceutical,Small,95000.0,Data Scientist
3760,40-44,Man,Netherlands,Master’s degree,10-20 years,3,5-10 years,Shipping/Transportation,Small,75000.0,Data Engineer
3766,35-39,Man,Sweden,Master’s degree,20+ years,3,5-10 years,Manufacturing/Fabrication,Small,75000.0,Data Engineer
3769,18-21,Man,Ukraine,Bachelor’s degree,1-3 years,1,Under 1 year,Accounting/Finance,No team,500.0,Data Engineer
3774,25-29,Woman,Czech Republic,Master’s degree,< 1 years,4,Under 1 year,Academics/Education,Small,500.0,Data Analyst
3782,50-54,Man,Spain,Bachelor’s degree,20+ years,3,Under 1 year,Manufacturing/Fabrication,No team,55000.0,Other
3790,50-54,Man,Italy,Master’s degree,1-3 years,1,1-2 years,Non-profit/Service,No team,500.0,Data Scientist
3800,25-29,Man,Germany,Doctoral degree,10-20 years,3,4-5 years,Academics/Education,Large,45000.0,Data Scientist
3806,25-29,Man,Italy,Master’s degree,5-10 years,3,4-5 years,Online Service/Internet-based Services,Small,55000.0,Data Scientist
3818,18-21,Man,Russia,Bachelor’s degree,3-5 years,2,1-2 years,Accounting/Finance,Large,1500.0,Data Engineer
3821,30-34,Man,Spain,Master’s degree,5-10 years,2,4-5 years,Computers/Technology,Large,137500.0,Other
3830,30-34,Man,Italy,Master’s degree,1-3 years,1,1-2 years,Energy/Mining,Large,1500.0,Data Scientist
3832,30-34,Woman,Germany,Master’s degree,< 1 years,4,Under 1 year,Academics/Education,No team,500.0,Other
3833,22-24,Man,Poland,Master’s degree,3-5 years,1,3-4 years,Non-profit/Service,Small,500.0,Data Scientist
3837,30-34,Woman,Greece,Master’s degree,3-5 years,4,5-10 years,Accounting/Finance,Large,22500.0,Data Scientist
3838,22-24,Man,Poland,Master’s degree,1-3 years,1,Under 1 year,Computers/Technology,Large,500.0,Data Scientist
3843,25-29,Man,Spain,Doctoral degree,5-10 years,2,2-3 years,Academics/Education,Small,35000.0,Data Scientist
3847,25-29,Woman,UK,Some college,< 1 years,1,No experience,Retail/Sales,Small,22500.0,Other
3852,25-29,Woman,Portugal,Doctoral degree,5-10 years,2,4-5 years,Academics/Education,Small,1500.0,Data Scientist
3860,40-44,Woman,Ireland,Bachelor’s degree,3-5 years,1,Under 1 year,Computers/Technology,Medium,75000.0,Other
3861,35-39,Man,Belarus,Bachelor’s degree,10-20 years,1,2-3 years,Other,Small,55000.0,Data Engineer
3866,25-29,Man,Russia,Master’s degree,< 1 years,1,Under 1 year,Retail/Sales,Medium,12500.0,Data Analyst
3870,35-39,Man,Russia,Some college,3-5 years,3,2-3 years,Accounting/Finance,Large,12500.0,Data Analyst
3871,40-44,Man,Germany,Master’s degree,20+ years,2,20 or more years,Medical/Pharmaceutical,Large,112500.0,Data Scientist
3885,18-21,Man,Russia,Bachelor’s degree,1-3 years,2,Under 1 year,Accounting/Finance,Medium,3500.0,Data Scientist
3894,35-39,Man,Netherlands,Master’s degree,5-10 years,3,4-5 years,Accounting/Finance,Large,112500.0,Data Scientist
3903,22-24,Woman,Russia,Bachelor’s degree,1-3 years,3,Under 1 year,Online Business/Internet-based Sales,Small,112500.0,Data Engineer
3904,55-59,Man,Germany,High school,1-3 years,2,1-2 years,Government/Public Service,Small,85000.0,Data Engineer
3905,45-49,Man,Russia,Master’s degree,3-5 years,2,2-3 years,Marketing/CRM,Medium,6250.0,Data Scientist
3908,25-29,Man,Poland,Doctoral degree,3-5 years,1,1-2 years,Manufacturing/Fabrication,Small,27500.0,Data Engineer
3919,30-34,Woman,Russia,Master’s degree,1-3 years,3,Under 1 year,Academics/Education,Small,4500.0,Data Scientist
3929,50-54,Woman,Portugal,Professional doctorate,10-20 years,1,Under 1 year,Academics/Education,No team,8750.0,Data Scientist
3933,22-24,Man,Russia,I prefer not to answer,< 1 years,3,Under 1 year,Energy/Mining,Small,27500.0,Data Scientist
3945,22-24,Man,Czech Republic,Master’s degree,1-3 years,2,Under 1 year,Accounting/Finance,Large,22500.0,Data Analyst
3950,25-29,Man,UK,Master’s degree,1-3 years,2,2-3 years,Other,Small,35000.0,Data Analyst
3960,25-29,Other,France,Master’s degree,1-3 years,2,1-2 years,Other,No team,500.0,Data Scientist
3962,55-59,Man,Netherlands,Master’s degree,20+ years,3,10-20 years,Marketing/CRM,Medium,112500.0,Data Scientist
3969,30-34,Man,Denmark,Doctoral degree,3-5 years,2,Under 1 year,Academics/Education,Large,95000.0,Data Scientist
3971,40-44,Man,Spain,Master’s degree,3-5 years,3,2-3 years,Computers/Technology,Small,95000.0,Data Analyst
3977,25-29,Man,Ukraine,Master’s degree,3-5 years,2,3-4 years,Manufacturing/Fabrication,Medium,45000.0,Data Engineer
3990,18-21,Man,Russia,Bachelor’s degree,3-5 years,4,2-3 years,Academics/Education,No team,12500.0,Data Scientist
3992,30-34,Man,France,Master’s degree,3-5 years,2,2-3 years,Insurance/Risk Assessment,Large,45000.0,Data Engineer
3995,30-34,Man,Russia,High school,1-3 years,3,Under 1 year,Shipping/Transportation,Small,17500.0,Data Scientist
4002,25-29,Woman,Poland,Master’s degree,5-10 years,3,3-4 years,Online Service/Internet-based Services,Small,35000.0,Data Scientist
4003,25-29,Man,Spain,Bachelor’s degree,3-5 years,4,1-2 years,Computers/Technology,Small,17500.0,Data Engineer
4008,45-49,Man,Russia,Master’s degree,20+ years,4,Under 1 year,Broadcasting/Communications,Large,1500.0,Other
4016,45-49,Man,Italy,Master’s degree,3-5 years,1,4-5 years,Academics/Education,Small,12500.0,Data Scientist
4021,50-54,Man,Spain,Some college,10-20 years,2,Under 1 year,Computers/Technology,No team,1500.0,Data Scientist
4024,50-54,Woman,Netherlands,Bachelor’s degree,< 1 years,2,No experience,Energy/Mining,Large,500.0,Other
4030,45-49,Man,Spain,Master’s degree,1-3 years,2,Under 1 year,Shipping/Transportation,No team,45000.0,Other
4038,30-34,Man,Russia,Bachelor’s degree,5-10 years,2,Under 1 year,Marketing/CRM,Small,2500.0,Data Engineer
4043,45-49,Man,Netherlands,Master’s degree,20+ years,4,Under 1 year,Online Service/Internet-based Services,No team,75000.0,Data Engineer
4045,30-34,Man,Germany,Bachelor’s degree,< 1 years,2,Under 1 year,Broadcasting/Communications,Small,3500.0,Data Analyst
4046,18-21,Man,Russia,Some college,3-5 years,2,2-3 years,Accounting/Finance,Large,2500.0,Data Engineer
4053,40-44,Man,Sweden,Master’s degree,3-5 years,2,4-5 years,Accounting/Finance,Small,112500.0,Other
4061,22-24,Man,Poland,Master’s degree,1-3 years,1,1-2 years,Accounting/Finance,Large,22500.0,Data Analyst
4062,45-49,Man,Russia,Some college,20+ years,4,1-2 years,Computers/Technology,Small,500.0,Data Analyst
4065,35-39,Man,Russia,Bachelor’s degree,20+ years,1,No experience,Computers/Technology,No team,27500.0,Data Engineer
4072,30-34,Woman,Germany,Master’s degree,3-5 years,1,2-3 years,Computers/Technology,Large,500.0,Data Engineer
4076,25-29,Man,Germany,Master’s degree,< 1 years,3,Under 1 year,Academics/Education,Small,500.0,Data Engineer
4077,30-34,Man,Italy,Bachelor’s degree,10-20 years,3,1-2 years,Other,Small,27500.0,Other
4084,25-29,Man,Spain,Bachelor’s degree,< 1 years,2,Under 1 year,Energy/Mining,Small,45000.0,Data Analyst
4085,30-34,Man,Russia,Master’s degree,5-10 years,4,4-5 years,Accounting/Finance,Medium,55000.0,Data Scientist
4091,45-49,Man,Switzerland,Master’s degree,20+ years,4,2-3 years,Computers/Technology,Small,85000.0,Data Engineer
4096,18-21,Man,Germany,I prefer not to answer,1-3 years,2,Under 1 year,Academics/Education,Small,8750.0,Data Scientist
4102,40-44,Man,Russia,I prefer not to answer,1-3 years,1,Under 1 year,Academics/Education,Medium,35000.0,Data Analyst
4106,45-49,Man,Denmark,Master’s degree,20+ years,3,4-5 years,Accounting/Finance,Small,137500.0,Data Scientist
4107,18-21,Man,Germany,I prefer not to answer,< 1 years,2,Under 1 year,Other,No team,12500.0,Data Scientist
4113,45-49,Woman,France,Some college,< 1 years,1,No experience,Computers/Technology,Small,22500.0,Other
4123,40-44,Man,Russia,Master’s degree,10-20 years,2,1-2 years,Manufacturing/Fabrication,Small,12500.0,Data Engineer
4126,22-24,Man,Russia,Bachelor’s degree,1-3 years,2,2-3 years,Accounting/Finance,Large,8750.0,Data Analyst
4141,50-54,Man,Spain,Bachelor’s degree,20+ years,2,5-10 years,Manufacturing/Fabrication,Small,35000.0,Data Analyst
4142,30-34,Man,Romania,Master’s degree,< 1 years,2,Under 1 year,Online Service/Internet-based Services,No team,35000.0,Other
4148,25-29,Woman,Germany,Doctoral degree,3-5 years,1,3-4 years,Academics/Education,Large,45000.0,Other
4153,22-24,Man,Romania,Some college,3-5 years,3,No experience,Computers/Technology,Small,17500.0,Data Engineer
4156,22-24,Man,Greece,Bachelor’s degree,5-10 years,1,2-3 years,Accounting/Finance,Large,8750.0,Data Analyst
4165,40-44,Man,Czech Republic,Bachelor’s degree,1-3 years,2,Under 1 year,Shipping/Transportation,Large,6250.0,Data Analyst
4169,30-34,Man,Belgium,Master’s degree,3-5 years,3,1-2 years,Retail/Sales,Small,137500.0,Data Scientist
4173,35-39,Man,Ukraine,Doctoral degree,3-5 years,1,1-2 years,Shipping/Transportation,Small,1500.0,Data Scientist
4185,30-34,Woman,Russia,Master’s degree,< 1 years,4,No experience,Government/Public Service,Small,2500.0,Data Analyst
4186,25-29,Man,France,Doctoral degree,5-10 years,2,4-5 years,Government/Public Service,Large,22500.0,Data Scientist
4197,30-34,Man,Germany,Master’s degree,5-10 years,2,4-5 years,Computers/Technology,Large,112500.0,Data Engineer
4201,45-49,Man,France,Doctoral degree,< 1 years,1,2-3 years,Manufacturing/Fabrication,No team,55000.0,Data Engineer
4206,22-24,Woman,France,Master’s degree,1-3 years,2,No experience,Academics/Education,Medium,500.0,Data Scientist
4214,30-34,Man,Spain,Master’s degree,1-3 years,1,No experience,Other,Small,22500.0,Data Analyst
4215,18-21,Man,Russia,Master’s degree,1-3 years,3,1-2 years,Insurance/Risk Assessment,Small,12500.0,Data Scientist
4229,25-29,Woman,Spain,Doctoral degree,1-3 years,2,2-3 years,Academics/Education,Small,27500.0,Data Scientist
4239,40-44,Man,Germany,Master’s degree,10-20 years,3,5-10 years,Insurance/Risk Assessment,Large,112500.0,Other
4247,55-59,Man,Denmark,Bachelor’s degree,20+ years,2,4-5 years,Government/Public Service,Small,137500.0,Data Engineer
4267,35-39,Man,Netherlands,Master’s degree,10-20 years,2,3-4 years,Non-profit/Service,Small,65000.0,Data Scientist
4273,40-44,Man,France,Master’s degree,5-10 years,1,3-4 years,Insurance/Risk Assessment,Small,112500.0,Other
4278,45-49,Man,Ukraine,Master’s degree,20+ years,1,1-2 years,Energy/Mining,No team,12500.0,Data Scientist
4285,22-24,Man,Ukraine,Doctoral degree,3-5 years,1,2-3 years,Medical/Pharmaceutical,Small,500.0,Data Scientist
4292,22-24,Man,Spain,Master’s degree,3-5 years,1,2-3 years,Academics/Education,No team,17500.0,Data Analyst
4295,22-24,Woman,Spain,Master’s degree,< 1 years,1,No experience,Accounting/Finance,Small,17500.0,Data Analyst
4296,25-29,Man,France,Master’s degree,1-3 years,2,2-3 years,Computers/Technology,Small,65000.0,Data Scientist
4299,40-44,Man,Denmark,Master’s degree,1-3 years,2,Under 1 year,Government/Public Service,Small,85000.0,Data Analyst
4301,55-59,Man,Spain,Master’s degree,20+ years,3,10-20 years,Government/Public Service,Medium,112500.0,Data Analyst
4304,40-44,Man,Denmark,Some college,3-5 years,4,2-3 years,Computers/Technology,Small,65000.0,Data Engineer
4311,45-49,Man,France,Master’s degree,10-20 years,1,4-5 years,Other,Small,22500.0,Data Scientist
4312,25-29,Man,Czech Republic,Master’s degree,5-10 years,1,2-3 years,Shipping/Transportation,Small,35000.0,Data Scientist
4322,30-34,Man,Ireland,Doctoral degree,1-3 years,2,Under 1 year,Academics/Education,Large,17500.0,Data Scientist
4323,30-34,Man,Germany,Professional doctorate,< 1 years,3,Under 1 year,Academics/Education,Small,55000.0,Data Scientist
4327,25-29,Man,UK,Bachelor’s degree,< 1 years,1,No experience,Government/Public Service,Small,500.0,Data Analyst
4328,30-34,Man,Ireland,Master’s degree,5-10 years,2,1-2 years,Broadcasting/Communications,No team,6250.0,Data Engineer
4337,25-29,Man,Italy,Master’s degree,3-5 years,2,2-3 years,Other,Small,35000.0,Data Scientist
4339,25-29,Man,Sweden,Master’s degree,5-10 years,2,1-2 years,Marketing/CRM,Medium,45000.0,Data Scientist
4343,45-49,Man,Poland,High school,10-20 years,2,No experience,Manufacturing/Fabrication,Small,45000.0,Data Analyst
4344,22-24,Man,Poland,Master’s degree,3-5 years,3,1-2 years,Accounting/Finance,Small,8750.0,Data Scientist
4355,35-39,Man,Germany,Master’s degree,3-5 years,4,4-5 years,Other,Small,112500.0,Data Engineer
4360,22-24,Man,Ukraine,Master’s degree,3-5 years,3,3-4 years,Retail/Sales,Small,1500.0,Data Scientist
4363,30-34,Man,Italy,Master’s degree,1-3 years,3,Under 1 year,Other,Large,35000.0,Data Scientist
4367,25-29,Man,Ukraine,Master’s degree,3-5 years,2,No experience,Accounting/Finance,Small,22500.0,Data Analyst
4368,45-49,Man,Poland,Master’s degree,20+ years,4,No experience,Computers/Technology,Small,45000.0,Data Engineer
4372,30-34,Man,UK,Doctoral degree,5-10 years,1,3-4 years,Accounting/Finance,Large,112500.0,Data Scientist
4373,35-39,Man,Spain,Bachelor’s degree,5-10 years,3,Under 1 year,Online Business/Internet-based Sales,No team,27500.0,Other
4376,25-29,Man,Ukraine,Master’s degree,10-20 years,4,Under 1 year,Retail/Sales,Small,35000.0,Data Engineer
4382,30-34,Man,UK,Master’s degree,5-10 years,4,Under 1 year,Other,No team,75000.0,Data Engineer
4383,40-44,Woman,Portugal,Bachelor’s degree,10-20 years,3,Under 1 year,Computers/Technology,No team,500.0,Data Engineer
4391,35-39,Man,Poland,Master’s degree,3-5 years,1,4-5 years,Computers/Technology,Large,65000.0,Data Scientist
4397,35-39,Man,Germany,Master’s degree,3-5 years,2,4-5 years,Military/Security/Defense,Medium,137500.0,Data Engineer
4398,25-29,Man,Austria,Master’s degree,5-10 years,2,1-2 years,Computers/Technology,Small,45000.0,Data Analyst
4400,50-54,Man,UK,Some college,20+ years,3,4-5 years,Non-profit/Service,Small,45000.0,Other
4401,40-44,Man,Germany,Doctoral degree,20+ years,4,10-20 years,Academics/Education,Large,65000.0,Data Scientist
4402,22-24,Man,Italy,Master’s degree,1-3 years,2,1-2 years,Academics/Education,Large,500.0,Other
4403,40-44,Man,Portugal,Master’s degree,5-10 years,1,2-3 years,Retail/Sales,Small,45000.0,Data Scientist
4407,40-44,Man,Austria,Bachelor’s degree,< 1 years,1,No experience,Manufacturing/Fabrication,No team,55000.0,Other
4416,25-29,Man,Germany,Master’s degree,10-20 years,2,3-4 years,Computers/Technology,Small,75000.0,Data Scientist
4417,30-34,Man,Belarus,Bachelor’s degree,1-3 years,3,Under 1 year,Online Service/Internet-based Services,Small,500.0,Data Analyst
4418,35-39,Man,Ukraine,Master’s degree,10-20 years,1,1-2 years,Energy/Mining,Small,3500.0,Data Scientist
4419,45-49,Man,Spain,Bachelor’s degree,1-3 years,1,Under 1 year,Manufacturing/Fabrication,Small,1500.0,Other
4426,22-24,Man,Russia,Bachelor’s degree,< 1 years,1,1-2 years,Computers/Technology,No team,6250.0,Data Scientist
4450,30-34,Man,Belgium,Master’s degree,3-5 years,2,2-3 years,Retail/Sales,Medium,137500.0,Data Scientist
4456,40-44,Man,Italy,Doctoral degree,10-20 years,2,10-20 years,Academics/Education,Small,35000.0,Data Scientist
4458,25-29,Man,Belgium,Master’s degree,1-3 years,3,2-3 years,Retail/Sales,Small,500.0,Data Scientist
4460,25-29,Woman,Germany,Master’s degree,1-3 years,3,Under 1 year,Non-profit/Service,Small,35000.0,Other
4468,50-54,Man,Portugal,Doctoral degree,20+ years,3,10-20 years,Computers/Technology,Small,27500.0,Data Scientist
4469,40-44,Man,Italy,High school,10-20 years,2,No experience,Online Business/Internet-based Sales,No team,8750.0,Other
4470,45-49,Man,Italy,Master’s degree,20+ years,3,No experience,Computers/Technology,Small,45000.0,Data Analyst
4475,22-24,Woman,Germany,Doctoral degree,3-5 years,3,2-3 years,Academics/Education,Small,65000.0,Data Scientist
4479,50-54,Man,Portugal,Master’s degree,20+ years,4,4-5 years,Computers/Technology,Small,22500.0,Other
4481,25-29,Man,Russia,Master’s degree,3-5 years,3,4-5 years,Retail/Sales,Small,35000.0,Data Scientist
4483,45-49,Man,Poland,Master’s degree,10-20 years,4,1-2 years,Marketing/CRM,Small,4500.0,Data Scientist
4485,40-44,Man,Russia,Master’s degree,20+ years,1,2-3 years,Shipping/Transportation,Small,137500.0,Other
4492,30-34,Man,Austria,Master’s degree,3-5 years,2,3-4 years,Accounting/Finance,Small,55000.0,Data Scientist
4493,35-39,Woman,Germany,Doctoral degree,10-20 years,2,5-10 years,Shipping/Transportation,Large,75000.0,Data Scientist
4497,25-29,Man,Ireland,Master’s degree,10-20 years,1,Under 1 year,Other,Small,85000.0,Other
4501,25-29,Man,Spain,Some college,< 1 years,3,Under 1 year,Academics/Education,No team,500.0,Data Analyst
4506,25-29,Man,France,Master’s degree,3-5 years,2,1-2 years,Accounting/Finance,Medium,45000.0,Data Analyst
4510,30-34,Man,Ukraine,Doctoral degree,5-10 years,2,5-10 years,Computers/Technology,Medium,112500.0,Data Scientist
4516,30-34,Man,Spain,Master’s degree,10-20 years,4,5-10 years,Accounting/Finance,Large,85000.0,Data Scientist
4518,55-59,Man,France,Master’s degree,20+ years,4,2-3 years,Accounting/Finance,Medium,55000.0,Data Engineer
4522,22-24,Man,Russia,I prefer not to answer,1-3 years,1,1-2 years,Retail/Sales,Small,6250.0,Data Analyst
4526,40-44,Man,Russia,Some college,3-5 years,2,Under 1 year,Computers/Technology,Small,3500.0,Data Engineer
4535,30-34,Man,Ireland,Doctoral degree,10-20 years,1,5-10 years,Online Service/Internet-based Services,Small,55000.0,Data Scientist
4536,30-34,Man,Russia,Master’s degree,1-3 years,3,1-2 years,Computers/Technology,Small,2500.0,Data Engineer
4539,35-39,Man,Ukraine,Bachelor’s degree,10-20 years,4,Under 1 year,Computers/Technology,Small,55000.0,Data Engineer
4552,40-44,Woman,UK,Master’s degree,1-3 years,1,Under 1 year,Academics/Education,No team,55000.0,Other
4561,55-59,Man,France,Some college,5-10 years,2,No experience,Government/Public Service,No team,55000.0,Data Analyst
4562,25-29,Man,France,Master’s degree,5-10 years,1,5-10 years,Computers/Technology,Small,45000.0,Data Engineer
