,age,gender,country,education,experience_prog,programming_lang_c,experience_ml,industry,company_size_g,team_size_g,role_group,salary_avg
2923,40-44,Man,Russia,I prefer not to answer,20+ years,2,3-4 years,Retail/Sales,Large,Small,Data Engineer,12500.0
2939,55-59,Man,Ukraine,Doctoral degree,20+ years,3,2-3 years,Academics/Education,Large,Small,Data Scientist,500.0
2943,25-29,Woman,Germany,Master’s degree,3-5 years,4,No experience,Government/Public Service,Small,No team,Data Engineer,55000.0
2946,30-34,Man,Russia,Master’s degree,3-5 years,2,No experience,Computers/Technology,Small,Small,Data Engineer,27500.0
2947,55-59,Woman,Spain,Doctoral degree,3-5 years,2,4-5 years,Non-profit/Service,Small,Small,Data Scientist,500.0
2950,45-49,Man,Russia,I prefer not to answer,1-3 years,1,1-2 years,Government/Public Service,Large,Medium,Data Analyst,12500.0
2964,25-29,Woman,Germany,Doctoral degree,5-10 years,4,2-3 years,Academics/Education,Small,Small,Data Scientist,35000.0
2977,30-34,Woman,Czech Republic,Master’s degree,< 1 years,1,No experience,Shipping/Transportation,Large,Large,Data Analyst,2500.0
2978,25-29,Woman,Germany,Master’s degree,1-3 years,4,Under 1 year,Academics/Education,Large,Large,Data Scientist,55000.0
2989,45-49,Man,France,Master’s degree,5-10 years,3,3-4 years,Computers/Technology,Large,Medium,Data Engineer,112500.0
2996,40-44,Man,Germany,Master’s degree,10-20 years,2,2-3 years,Accounting/Finance,Large,Small,Data Engineer,95000.0
2997,45-49,Man,Spain,Bachelor’s degree,10-20 years,3,1-2 years,Shipping/Transportation,Large,Large,Data Analyst,85000.0
3005,55-59,Man,Italy,Doctoral degree,10-20 years,2,No experience,Academics/Education,Large,No team,Data Scientist,39176.71626648631
3012,22-24,Man,Russia,Master’s degree,< 1 years,1,Under 1 year,Other,Small,No team,Data Scientist,39176.71626648631
3013,25-29,Man,Russia,I prefer not to answer,< 1 years,1,Under 1 year,Retail/Sales,Medium,Small,Other,8750.0
3017,40-44,Woman,Germany,Doctoral degree,1-3 years,1,1-2 years,Academics/Education,Large,Small,Data Scientist,75000.0
3027,35-39,Man,Ukraine,Master’s degree,1-3 years,2,1-2 years,Computers/Technology,Small,Small,Data Scientist,500.0
3037,30-34,Man,Belgium,Master’s degree,10-20 years,3,Under 1 year,Other,Medium,No team,Other,45000.0
3043,25-29,Man,Italy,Doctoral degree,1-3 years,2,1-2 years,Academics/Education,Small,Small,Data Scientist,12500.0
3049,50-54,Man,Spain,Doctoral degree,10-20 years,3,3-4 years,Retail/Sales,Small,Small,Other,65000.0
3050,40-44,Man,Spain,Master’s degree,5-10 years,4,Under 1 year,Computers/Technology,Large,Medium,Data Analyst,85000.0
3052,25-29,Man,Italy,Master’s degree,5-10 years,1,2-3 years,Computers/Technology,Large,Large,Data Scientist,27500.0
3055,35-39,Woman,Netherlands,Master’s degree,3-5 years,2,Under 1 year,Academics/Education,Large,Large,Data Scientist,35000.0
3056,25-29,Man,Germany,Master’s degree,1-3 years,1,2-3 years,Academics/Education,Large,Large,Data Scientist,55000.0
3077,30-34,Man,Spain,Master’s degree,3-5 years,2,No experience,Computers/Technology,Medium,Medium,Data Engineer,39176.71626648631
3085,30-34,Man,UK,Bachelor’s degree,1-3 years,3,Under 1 year,Medical/Pharmaceutical,Large,Small,Data Scientist,65000.0
3087,40-44,Man,Spain,Master’s degree,10-20 years,1,1-2 years,Government/Public Service,Large,No team,Other,45000.0
3094,30-34,Man,Sweden,Doctoral degree,5-10 years,2,4-5 years,Academics/Education,Large,Large,Data Scientist,45000.0
3101,25-29,Man,Romania,Doctoral degree,10-20 years,2,4-5 years,Computers/Technology,Large,Medium,Data Scientist,55000.0
3112,25-29,Man,Spain,Doctoral degree,5-10 years,3,1-2 years,Academics/Education,Large,Large,Data Scientist,17500.0
3114,45-49,Man,Denmark,Master’s degree,10-20 years,2,4-5 years,Marketing/CRM,Small,Small,Data Scientist,95000.0
3117,35-39,Man,Russia,Some college,< 1 years,3,Under 1 year,Retail/Sales,Small,Small,Data Analyst,39176.71626648631
3128,35-39,Man,Ireland,Master’s degree,5-10 years,2,3-4 years,Computers/Technology,Medium,Small,Data Scientist,112500.0
3134,40-44,Man,Russia,Bachelor’s degree,< 1 years,1,Under 1 year,Accounting/Finance,Small,Small,Data Scientist,1500.0
3138,35-39,Man,Russia,Master’s degree,5-10 years,2,Under 1 year,Energy/Mining,Large,No team,Data Engineer,12500.0
3141,22-24,Man,Russia,Master’s degree,5-10 years,2,2-3 years,Military/Security/Defense,Large,Small,Data Engineer,22500.0
3156,30-34,Man,Belarus,Master’s degree,< 1 years,1,Under 1 year,Manufacturing/Fabrication,Medium,No team,Data Scientist,500.0
3160,25-29,Man,Italy,Master’s degree,5-10 years,2,2-3 years,Other,Small,Small,Data Scientist,12500.0
3169,50-54,Man,Italy,Master’s degree,5-10 years,3,1-2 years,Accounting/Finance,Large,Large,Data Engineer,35000.0
3190,25-29,Man,Germany,Doctoral degree,3-5 years,1,2-3 years,Academics/Education,Medium,Large,Data Engineer,65000.0
3196,30-34,Man,France,Master’s degree,5-10 years,2,4-5 years,Computers/Technology,Large,Large,Data Scientist,137500.0
3197,25-29,Man,Portugal,Bachelor’s degree,3-5 years,4,1-2 years,Computers/Technology,Large,Small,Data Engineer,1500.0
3201,35-39,Man,Russia,Some college,1-3 years,2,No experience,Online Business/Internet-based Sales,Medium,No team,Data Analyst,1500.0
3205,22-24,Man,Russia,Master’s degree,1-3 years,2,1-2 years,Academics/Education,Small,Large,Data Scientist,500.0
3209,18-21,Man,Russia,Bachelor’s degree,3-5 years,2,Under 1 year,Retail/Sales,Large,Small,Data Analyst,12500.0
3214,35-39,Man,Romania,Bachelor’s degree,10-20 years,3,1-2 years,Accounting/Finance,Large,Large,Data Scientist,55000.0
3215,25-29,Man,Russia,Master’s degree,10-20 years,3,3-4 years,Computers/Technology,Large,Large,Data Engineer,2500.0
3216,55-59,Woman,Poland,Master’s degree,5-10 years,3,1-2 years,Marketing/CRM,Small,No team,Data Engineer,12500.0
3217,30-34,Man,France,Master’s degree,3-5 years,1,Under 1 year,Online Service/Internet-based Services,Medium,Small,Data Analyst,45000.0
3219,25-29,Man,Netherlands,Bachelor’s degree,3-5 years,1,2-3 years,Hospitality/Entertainment/Sports,Large,Small,Data Engineer,85000.0
3223,30-34,Man,UK,Master’s degree,1-3 years,2,1-2 years,Other,Large,Large,Other,2500.0
3226,30-34,Man,Ireland,Bachelor’s degree,5-10 years,3,1-2 years,Computers/Technology,Large,Large,Data Engineer,95000.0
3229,50-54,Woman,Netherlands,Master’s degree,10-20 years,2,1-2 years,Accounting/Finance,Large,Large,Data Analyst,112500.0
3252,35-39,Man,Italy,Master’s degree,3-5 years,2,4-5 years,Online Service/Internet-based Services,Large,Small,Data Engineer,27500.0
3261,25-29,Man,France,Master’s degree,3-5 years,3,2-3 years,Insurance/Risk Assessment,Large,Large,Data Scientist,65000.0
3267,30-34,Man,UK,Master’s degree,5-10 years,1,2-3 years,Online Business/Internet-based Sales,Large,Medium,Data Scientist,75000.0
3272,25-29,Man,Portugal,Master’s degree,1-3 years,2,Under 1 year,Academics/Education,Small,No team,Data Analyst,500.0
3273,25-29,Woman,Russia,Master’s degree,1-3 years,3,No experience,Accounting/Finance,Medium,No team,Data Analyst,500.0
3275,30-34,Man,Sweden,Master’s degree,3-5 years,2,1-2 years,Marketing/CRM,Small,Small,Data Scientist,85000.0
3276,45-49,Man,Spain,Master’s degree,20+ years,3,No experience,Government/Public Service,Large,No team,Data Engineer,55000.0
3281,25-29,Man,Russia,Master’s degree,3-5 years,2,3-4 years,Marketing/CRM,Large,Large,Data Engineer,6250.0
3282,45-49,Man,Belarus,Bachelor’s degree,20+ years,2,Under 1 year,Computers/Technology,Large,No team,Data Engineer,12500.0
3290,25-29,Woman,Poland,Master’s degree,3-5 years,3,3-4 years,Insurance/Risk Assessment,Large,Small,Data Scientist,22500.0
3291,30-34,Man,Russia,Master’s degree,1-3 years,4,1-2 years,Accounting/Finance,Large,Large,Data Analyst,17500.0
3296,35-39,Man,Romania,Some college,10-20 years,3,No experience,Online Service/Internet-based Services,Medium,Small,Data Engineer,45000.0
3311,30-34,Woman,Ireland,Bachelor’s degree,1-3 years,1,No experience,Shipping/Transportation,Large,Small,Data Analyst,12500.0
3315,45-49,Man,Spain,Doctoral degree,20+ years,4,2-3 years,Energy/Mining,Medium,Small,Data Analyst,55000.0
3317,22-24,Man,UK,Master’s degree,3-5 years,2,2-3 years,Government/Public Service,Large,Large,Data Scientist,39176.71626648631
3323,45-49,Man,Spain,Doctoral degree,20+ years,2,4-5 years,Government/Public Service,Large,Small,Data Analyst,55000.0
3324,30-34,Man,Germany,Doctoral degree,5-10 years,3,4-5 years,Medical/Pharmaceutical,Large,Large,Data Scientist,95000.0
3325,22-24,Man,Austria,Bachelor’s degree,5-10 years,4,Under 1 year,Computers/Technology,Small,Small,Data Engineer,12500.0
3326,22-24,Man,Italy,Master’s degree,3-5 years,3,2-3 years,Computers/Technology,Large,Large,Data Scientist,12500.0
3330,45-49,Man,Spain,I prefer not to answer,10-20 years,3,No experience,Computers/Technology,Medium,Small,Data Analyst,65000.0
3338,25-29,Other,Netherlands,Doctoral degree,5-10 years,4,5-10 years,Academics/Education,Large,Large,Data Scientist,55000.0
3344,45-49,Man,Russia,Doctoral degree,5-10 years,2,5-10 years,Academics/Education,Large,Large,Data Scientist,27500.0
3347,18-21,Man,Russia,Bachelor’s degree,1-3 years,1,Under 1 year,Accounting/Finance,Large,Large,Data Engineer,12500.0
3353,55-59,Man,Germany,Master’s degree,1-3 years,2,No experience,Broadcasting/Communications,Medium,Small,Data Scientist,55000.0
3356,40-44,Man,France,Doctoral degree,10-20 years,3,Under 1 year,Manufacturing/Fabrication,Large,No team,Data Scientist,75000.0
3358,35-39,Man,Russia,Doctoral degree,10-20 years,2,1-2 years,Online Service/Internet-based Services,Medium,Small,Data Scientist,27500.0
3359,30-34,Man,Russia,Bachelor’s degree,5-10 years,2,Under 1 year,Computers/Technology,Small,Small,Data Analyst,12500.0
3366,30-34,Man,Romania,Master’s degree,5-10 years,1,4-5 years,Computers/Technology,Large,Large,Data Scientist,35000.0
3371,25-29,Man,Ukraine,Master’s degree,3-5 years,4,Under 1 year,Other,Medium,Small,Data Engineer,65000.0
3377,30-34,Man,Greece,Master’s degree,< 1 years,2,Under 1 year,Accounting/Finance,Large,Small,Other,12500.0
3378,25-29,Man,Netherlands,Master’s degree,1-3 years,4,2-3 years,Academics/Education,Large,Small,Data Scientist,2500.0
3379,30-34,Man,Russia,Master’s degree,3-5 years,1,4-5 years,Computers/Technology,Large,Large,Data Engineer,35000.0
3383,30-34,Man,Russia,Master’s degree,1-3 years,2,Under 1 year,Computers/Technology,Medium,Small,Data Scientist,39176.71626648631
3384,25-29,Man,Poland,Bachelor’s degree,5-10 years,1,2-3 years,Medical/Pharmaceutical,Large,Large,Data Scientist,45000.0
3390,35-39,Other,France,Bachelor’s degree,< 1 years,3,Under 1 year,Non-profit/Service,Small,No team,Data Analyst,500.0
3392,45-49,Man,Italy,Master’s degree,20+ years,1,4-5 years,Academics/Education,Small,Small,Other,39176.71626648631
3393,22-24,Man,Spain,Some college,1-3 years,3,No experience,Computers/Technology,Medium,No team,Other,12500.0
3394,45-49,Man,Poland,Master’s degree,20+ years,3,2-3 years,Academics/Education,Large,Medium,Data Scientist,2500.0
3423,45-49,Man,Ukraine,Doctoral degree,3-5 years,2,4-5 years,Academics/Education,Large,Small,Data Scientist,12500.0
3424,30-34,Man,France,Master’s degree,5-10 years,4,5-10 years,Accounting/Finance,Large,Large,Data Engineer,65000.0
3428,30-34,Man,France,Doctoral degree,5-10 years,1,4-5 years,Insurance/Risk Assessment,Small,Small,Data Engineer,55000.0
3435,25-29,Man,France,Master’s degree,< 1 years,2,Under 1 year,Accounting/Finance,Large,Large,Other,45000.0
3436,40-44,Man,Russia,Master’s degree,5-10 years,2,Under 1 year,Computers/Technology,Large,Small,Data Analyst,39176.71626648631
3438,55-59,Man,Italy,Bachelor’s degree,20+ years,4,4-5 years,Computers/Technology,Medium,No team,Data Engineer,22500.0
3441,30-34,Man,Ukraine,High school,< 1 years,2,No experience,Retail/Sales,Large,Medium,Data Analyst,2500.0
3445,40-44,Man,Russia,Master’s degree,20+ years,4,Under 1 year,Retail/Sales,Large,Small,Data Engineer,17500.0
3447,45-49,Other,Netherlands,Master’s degree,5-10 years,1,1-2 years,Computers/Technology,Large,Large,Other,85000.0
3450,35-39,Man,Belarus,Master’s degree,5-10 years,2,Under 1 year,Online Business/Internet-based Sales,Medium,No team,Data Engineer,55000.0
3454,30-34,Woman,France,Master’s degree,1-3 years,3,1-2 years,Marketing/CRM,Large,Small,Data Analyst,1500.0
3460,25-29,Man,Poland,Master’s degree,3-5 years,2,4-5 years,Shipping/Transportation,Small,Small,Data Analyst,55000.0
3461,35-39,Woman,Ukraine,Master’s degree,10-20 years,2,10-20 years,Computers/Technology,Large,Large,Data Scientist,35000.0
3467,35-39,Woman,UK,Doctoral degree,5-10 years,1,1-2 years,Academics/Education,Large,No team,Data Scientist,500.0
3469,25-29,Man,Switzerland,Master’s degree,3-5 years,3,2-3 years,Computers/Technology,Small,Large,Data Scientist,112500.0
3475,35-39,Man,Spain,Doctoral degree,1-3 years,1,1-2 years,Academics/Education,Large,No team,Data Scientist,1500.0
3493,35-39,Man,Greece,Master’s degree,5-10 years,1,4-5 years,Computers/Technology,Small,Small,Data Engineer,35000.0
3505,45-49,Man,Ukraine,Doctoral degree,10-20 years,1,Under 1 year,Academics/Education,Large,No team,Data Scientist,4500.0
3513,18-21,Man,Ireland,Some college,10-20 years,4,4-5 years,Retail/Sales,Medium,Small,Data Engineer,65000.0
3515,30-34,Man,France,Master’s degree,1-3 years,3,3-4 years,Online Service/Internet-based Services,Medium,Small,Data Analyst,75000.0
3521,45-49,Man,France,Master’s degree,20+ years,3,2-3 years,Computers/Technology,Medium,Small,Data Analyst,95000.0
3530,25-29,Man,France,Doctoral degree,5-10 years,1,Under 1 year,Academics/Education,Large,Large,Data Scientist,35000.0
3534,35-39,Man,Germany,Master’s degree,5-10 years,2,No experience,Retail/Sales,Large,No team,Data Analyst,45000.0
3536,45-49,Man,Belgium,Bachelor’s degree,10-20 years,3,3-4 years,Accounting/Finance,Large,Small,Data Analyst,65000.0
3545,45-49,Man,Poland,Doctoral degree,1-3 years,2,1-2 years,Academics/Education,Large,No team,Data Scientist,12500.0
3548,35-39,Man,Italy,Doctoral degree,3-5 years,3,3-4 years,Academics/Education,Small,Small,Data Scientist,17500.0
3551,22-24,Man,Russia,Bachelor’s degree,1-3 years,2,1-2 years,Manufacturing/Fabrication,Small,Small,Data Engineer,3500.0
3552,40-44,Man,Ukraine,Master’s degree,5-10 years,3,Under 1 year,Academics/Education,Medium,Small,Data Analyst,6250.0
3570,50-54,Man,Russia,Doctoral degree,< 1 years,1,No experience,Accounting/Finance,Large,Large,Data Analyst,65000.0
3576,18-21,Man,Denmark,Bachelor’s degree,3-5 years,1,Under 1 year,Other,Small,No team,Data Scientist,500.0
3577,35-39,Man,Germany,Doctoral degree,10-20 years,2,10-20 years,Online Business/Internet-based Sales,Large,Small,Data Scientist,85000.0
3582,50-54,Man,Portugal,Professional doctorate,10-20 years,1,3-4 years,Academics/Education,Large,Medium,Data Scientist,8750.0
3584,18-21,Man,Ukraine,Bachelor’s degree,1-3 years,2,1-2 years,Computers/Technology,Small,No team,Data Scientist,39176.71626648631
3594,22-24,Man,Germany,Master’s degree,1-3 years,1,2-3 years,Computers/Technology,Small,Small,Data Scientist,12500.0
3595,30-34,Man,Germany,Doctoral degree,10-20 years,2,5-10 years,Academics/Education,Large,Large,Data Scientist,65000.0
3599,22-24,Woman,Italy,Bachelor’s degree,5-10 years,2,Under 1 year,Other,Large,Small,Data Scientist,500.0
3600,50-54,Man,UK,Bachelor’s degree,1-3 years,3,1-2 years,Government/Public Service,Large,Large,Data Analyst,45000.0
3601,45-49,Man,Spain,Doctoral degree,5-10 years,4,5-10 years,Academics/Education,Large,Small,Data Analyst,137500.0
3603,40-44,Woman,UK,Master’s degree,1-3 years,4,1-2 years,Marketing/CRM,Large,Large,Data Analyst,45000.0
3605,25-29,Man,Italy,Master’s degree,3-5 years,2,2-3 years,Insurance/Risk Assessment,Large,Small,Data Analyst,35000.0
3609,45-49,Man,Spain,Doctoral degree,1-3 years,3,No experience,Academics/Education,Large,No team,Data Scientist,12500.0
3613,35-39,Man,France,Master’s degree,3-5 years,2,Under 1 year,Retail/Sales,Large,No team,Data Analyst,95000.0
3617,25-29,Man,Spain,Bachelor’s degree,1-3 years,2,Under 1 year,Medical/Pharmaceutical,Large,Small,Data Engineer,6250.0
3618,30-34,Man,Greece,Master’s degree,< 1 years,1,Under 1 year,Broadcasting/Communications,Large,Large,Data Analyst,17500.0
3622,45-49,Woman,Netherlands,Doctoral degree,20+ years,3,2-3 years,Computers/Technology,Large,Small,Other,137500.0
3640,35-39,Man,Spain,Master’s degree,3-5 years,2,1-2 years,Computers/Technology,Large,No team,Data Engineer,35000.0
3651,45-49,Man,France,I prefer not to answer,20+ years,4,No experience,Computers/Technology,Large,Small,Data Engineer,85000.0
3652,50-54,Man,Germany,Professional doctorate,1-3 years,1,1-2 years,Academics/Education,Large,Large,Data Scientist,500.0
3659,22-24,Man,UK,Master’s degree,< 1 years,1,No experience,Marketing/CRM,Medium,Large,Data Engineer,35000.0
3660,30-34,Man,Germany,Doctoral degree,5-10 years,2,2-3 years,Retail/Sales,Large,Large,Data Engineer,95000.0
3661,25-29,Man,Spain,Some college,5-10 years,2,2-3 years,Military/Security/Defense,Large,No team,Other,22500.0
3665,45-49,Man,Italy,Master’s degree,3-5 years,3,4-5 years,Online Business/Internet-based Sales,Large,Small,Other,137500.0
3671,35-39,Man,France,Master’s degree,10-20 years,2,1-2 years,Accounting/Finance,Large,No team,Data Engineer,39176.71626648631
3673,25-29,Man,Poland,Master’s degree,5-10 years,2,3-4 years,Online Business/Internet-based Sales,Medium,Medium,Data Engineer,55000.0
3676,25-29,Man,UK,Master’s degree,1-3 years,3,1-2 years,Accounting/Finance,Medium,Small,Data Scientist,75000.0
3683,35-39,Man,Spain,Doctoral degree,10-20 years,3,10-20 years,Computers/Technology,Large,Large,Data Scientist,95000.0
3692,50-54,Man,Russia,Doctoral degree,3-5 years,2,2-3 years,Academics/Education,Large,No team,Data Scientist,1500.0
3700,40-44,Man,Ireland,Doctoral degree,1-3 years,1,1-2 years,Academics/Education,Large,Small,Data Analyst,55000.0
3710,30-34,Man,Ukraine,Master’s degree,1-3 years,3,1-2 years,Shipping/Transportation,Large,Large,Data Scientist,17500.0
3711,25-29,Man,Ireland,Doctoral degree,3-5 years,4,Under 1 year,Academics/Education,Large,Large,Other,45000.0
3712,30-34,Woman,Italy,Master’s degree,1-3 years,2,1-2 years,Government/Public Service,Medium,No team,Data Engineer,500.0
3715,35-39,Man,Ireland,Master’s degree,< 1 years,1,No experience,Retail/Sales,Large,Medium,Data Analyst,45000.0
3724,35-39,Man,France,Doctoral degree,5-10 years,3,1-2 years,Other,Large,Small,Data Scientist,35000.0
3739,30-34,Woman,Germany,Master’s degree,5-10 years,4,2-3 years,Computers/Technology,Large,Large,Data Engineer,85000.0
3745,22-24,Man,Russia,Master’s degree,3-5 years,1,1-2 years,Academics/Education,Large,No team,Data Scientist,12500.0
3747,35-39,Man,Germany,Doctoral degree,5-10 years,3,5-10 years,Academics/Education,Large,Large,Data Scientist,39176.71626648631
3760,25-29,Man,Greece,Master’s degree,1-3 years,2,1-2 years,Other,Small,No team,Data Analyst,1500.0
3780,50-54,Man,Spain,Doctoral degree,20+ years,2,20 or more years,Academics/Education,Large,Large,Data Scientist,55000.0
3783,35-39,Man,France,Doctoral degree,10-20 years,3,10-20 years,Computers/Technology,Medium,Small,Data Scientist,65000.0
3794,40-44,Man,Spain,Some college,5-10 years,2,No experience,Energy/Mining,Large,Medium,Data Analyst,17500.0
3814,35-39,Man,Poland,Master’s degree,5-10 years,3,2-3 years,Accounting/Finance,Large,Small,Data Scientist,27500.0
3816,30-34,Man,Russia,Master’s degree,3-5 years,2,1-2 years,Academics/Education,Large,Large,Data Engineer,17500.0
3833,30-34,Man,Russia,Master’s degree,1-3 years,2,1-2 years,Other,Small,Small,Data Scientist,35000.0
3845,40-44,Man,Italy,Bachelor’s degree,10-20 years,4,Under 1 year,Accounting/Finance,Small,Large,Data Engineer,35000.0
3860,50-54,Man,Italy,Doctoral degree,20+ years,2,5-10 years,Academics/Education,Large,Large,Data Scientist,55000.0
3866,22-24,Man,Russia,Bachelor’s degree,< 1 years,2,Under 1 year,Retail/Sales,Small,Small,Data Analyst,1500.0
3867,25-29,Man,Russia,Master’s degree,5-10 years,3,1-2 years,Retail/Sales,Large,Large,Data Engineer,137500.0
3873,25-29,Man,UK,Master’s degree,1-3 years,1,No experience,Computers/Technology,Large,Large,Data Engineer,39176.71626648631
3876,25-29,Woman,France,Master’s degree,< 1 years,3,1-2 years,Academics/Education,Small,Small,Data Scientist,500.0
3882,55-59,Man,Germany,Doctoral degree,20+ years,2,5-10 years,Computers/Technology,Small,Small,Other,137500.0
3883,30-34,Man,Poland,Master’s degree,1-3 years,1,Under 1 year,Accounting/Finance,Large,No team,Data Analyst,22500.0
3884,45-49,Man,France,Master’s degree,20+ years,1,5-10 years,Energy/Mining,Medium,Large,Other,85000.0
3893,40-44,Man,Portugal,Doctoral degree,3-5 years,3,3-4 years,Academics/Education,Large,No team,Data Scientist,55000.0
3907,25-29,Man,Russia,I prefer not to answer,1-3 years,1,Under 1 year,Shipping/Transportation,Small,Medium,Data Scientist,39176.71626648631
3914,22-24,Man,UK,Master’s degree,3-5 years,3,Under 1 year,Medical/Pharmaceutical,Large,Large,Data Analyst,45000.0
3923,25-29,Man,Russia,Bachelor’s degree,5-10 years,4,3-4 years,Computers/Technology,Large,Large,Data Engineer,55000.0
3925,50-54,Man,Poland,High school,10-20 years,1,10-20 years,Government/Public Service,Small,No team,Data Analyst,12500.0
3937,35-39,Man,Russia,Master’s degree,5-10 years,1,1-2 years,Government/Public Service,Large,Large,Data Analyst,55000.0
3942,18-21,Man,Ukraine,Bachelor’s degree,< 1 years,1,1-2 years,Retail/Sales,Medium,Small,Data Scientist,6250.0
3946,45-49,Man,Spain,Master’s degree,1-3 years,1,No experience,Manufacturing/Fabrication,Large,Small,Data Scientist,1500.0
3948,25-29,Man,UK,Doctoral degree,5-10 years,1,1-2 years,Computers/Technology,Small,Small,Data Scientist,75000.0
3949,35-39,Man,Spain,Master’s degree,10-20 years,2,1-2 years,Computers/Technology,Large,Large,Data Engineer,35000.0
3953,35-39,Man,Germany,Doctoral degree,3-5 years,2,2-3 years,Medical/Pharmaceutical,Large,Small,Data Scientist,95000.0
3955,40-44,Man,Netherlands,Master’s degree,10-20 years,3,5-10 years,Shipping/Transportation,Medium,Small,Data Engineer,75000.0
3961,35-39,Man,Sweden,Master’s degree,20+ years,3,5-10 years,Manufacturing/Fabrication,Small,Small,Data Engineer,75000.0
3964,18-21,Man,Ukraine,Bachelor’s degree,1-3 years,1,Under 1 year,Accounting/Finance,Small,No team,Data Engineer,500.0
3969,25-29,Woman,Czech Republic,Master’s degree,< 1 years,4,Under 1 year,Academics/Education,Medium,Small,Data Analyst,500.0
3977,50-54,Man,Spain,Bachelor’s degree,20+ years,3,Under 1 year,Manufacturing/Fabrication,Small,No team,Other,55000.0
3986,50-54,Man,Italy,Master’s degree,1-3 years,1,1-2 years,Non-profit/Service,Large,No team,Data Scientist,500.0
3997,25-29,Man,Germany,Doctoral degree,10-20 years,3,4-5 years,Academics/Education,Large,Large,Data Scientist,45000.0
4005,25-29,Man,Italy,Master’s degree,5-10 years,3,4-5 years,Online Service/Internet-based Services,Large,Small,Data Scientist,55000.0
4017,18-21,Man,Russia,Bachelor’s degree,3-5 years,2,1-2 years,Accounting/Finance,Large,Large,Data Engineer,1500.0
4020,30-34,Man,Spain,Master’s degree,5-10 years,2,4-5 years,Computers/Technology,Large,Large,Other,137500.0
4029,30-34,Man,Italy,Master’s degree,1-3 years,1,1-2 years,Energy/Mining,Large,Large,Data Scientist,1500.0
4031,30-34,Woman,Germany,Master’s degree,< 1 years,4,Under 1 year,Academics/Education,Medium,No team,Other,500.0
4032,22-24,Man,Poland,Master’s degree,3-5 years,1,3-4 years,Non-profit/Service,Small,Small,Data Scientist,500.0
4036,30-34,Woman,Greece,Master’s degree,3-5 years,4,5-10 years,Accounting/Finance,Medium,Large,Data Scientist,22500.0
4037,22-24,Man,Poland,Master’s degree,1-3 years,1,Under 1 year,Computers/Technology,Large,Large,Data Scientist,500.0
4042,25-29,Man,Spain,Doctoral degree,5-10 years,2,2-3 years,Academics/Education,Small,Small,Data Scientist,35000.0
4046,25-29,Woman,UK,Some college,< 1 years,1,No experience,Retail/Sales,Small,Small,Other,22500.0
4051,25-29,Woman,Portugal,Doctoral degree,5-10 years,2,4-5 years,Academics/Education,Large,Small,Data Scientist,1500.0
4059,40-44,Woman,Ireland,Bachelor’s degree,3-5 years,1,Under 1 year,Computers/Technology,Large,Medium,Other,75000.0
4060,35-39,Man,Belarus,Bachelor’s degree,10-20 years,1,2-3 years,Other,Large,Small,Data Engineer,55000.0
4065,25-29,Man,Russia,Master’s degree,< 1 years,1,Under 1 year,Retail/Sales,Large,Medium,Data Analyst,12500.0
4069,35-39,Man,Russia,Some college,3-5 years,3,2-3 years,Accounting/Finance,Large,Large,Data Analyst,12500.0
4070,40-44,Man,Germany,Master’s degree,20+ years,2,20 or more years,Medical/Pharmaceutical,Large,Large,Data Scientist,112500.0
4084,18-21,Man,Russia,Bachelor’s degree,1-3 years,2,Under 1 year,Accounting/Finance,Medium,Medium,Data Scientist,3500.0
4093,35-39,Man,Netherlands,Master’s degree,5-10 years,3,4-5 years,Accounting/Finance,Large,Large,Data Scientist,112500.0
4104,22-24,Woman,Russia,Bachelor’s degree,1-3 years,3,Under 1 year,Online Business/Internet-based Sales,Large,Small,Data Engineer,112500.0
4105,55-59,Man,Germany,High school,1-3 years,2,1-2 years,Government/Public Service,Large,Small,Data Engineer,85000.0
4106,45-49,Man,Russia,Master’s degree,3-5 years,2,2-3 years,Marketing/CRM,Medium,Medium,Data Scientist,6250.0
4109,25-29,Man,Poland,Doctoral degree,3-5 years,1,1-2 years,Manufacturing/Fabrication,Large,Small,Data Engineer,27500.0
4121,40-44,Man,UK,Master’s degree,10-20 years,3,Under 1 year,Medical/Pharmaceutical,Small,Small,Data Engineer,39176.71626648631
4122,30-34,Woman,Russia,Master’s degree,1-3 years,3,Under 1 year,Academics/Education,Medium,Small,Data Scientist,4500.0
4133,50-54,Woman,Portugal,Professional doctorate,10-20 years,1,Under 1 year,Academics/Education,Large,No team,Data Scientist,8750.0
4137,22-24,Man,Russia,I prefer not to answer,< 1 years,3,Under 1 year,Energy/Mining,Large,Small,Data Scientist,27500.0
4149,22-24,Man,Czech Republic,Master’s degree,1-3 years,2,Under 1 year,Accounting/Finance,Large,Large,Data Analyst,22500.0
4154,25-29,Man,UK,Master’s degree,1-3 years,2,2-3 years,Other,Medium,Small,Data Analyst,35000.0
4165,25-29,Other,France,Master’s degree,1-3 years,2,1-2 years,Other,Small,No team,Data Scientist,500.0
4167,55-59,Man,Netherlands,Master’s degree,20+ years,3,10-20 years,Marketing/CRM,Large,Medium,Data Scientist,112500.0
4175,30-34,Man,Denmark,Doctoral degree,3-5 years,2,Under 1 year,Academics/Education,Large,Large,Data Scientist,95000.0
4177,40-44,Man,Spain,Master’s degree,3-5 years,3,2-3 years,Computers/Technology,Large,Small,Data Analyst,95000.0
