,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary,country_group,company_size_g,team_size_g,role_group,salary_avg,salary_group
4062,40-44,Man,Israel,Master’s degree,Program/Project Manager,1-3 years,1,2-3 years,Military/Security/Defense,"10,000 or more employees",20+,70000-79999,Other,Large,Large,Data Analyst,75000.0,between 50k and 80k
4066,55-59,Man,Japan,Bachelor’s degree,Other,5-10 years,2,Under 1 year,Other,0-49 employees,0,100000-124999,Other,Small,No team,Other,112500.0,between 80k and 125k
4067,25-29,Woman,Russia,Bachelor’s degree,Data Scientist,3-5 years,1,3-4 years,Broadcasting/Communications,50-249 employees,1-2,30000-39999,Europe,Medium,Small,Data Scientist,35000.0,between 30k and 50k
4069,35-39,Man,India,Bachelor’s degree,Software Engineer,1-3 years,3,Under 1 year,Computers/Technology,"1000-9,999 employees",3-4,25000-29999,India,Large,Small,Data Engineer,27500.0,between 10k and 30k
4070,45-49,Man,Poland,Master’s degree,Program/Project Manager,20+ years,3,1-2 years,Computers/Technology,"10,000 or more employees",20+,90000-99999,Europe,Large,Large,Data Analyst,95000.0,between 80k and 125k
4072,50-54,Man,Ireland,High school,Other,20+ years,2,No experience,Hospitality/Entertainment/Sports,0-49 employees,1-2,40000-49999,Europe,Small,Small,Other,45000.0,between 30k and 50k
4074,35-39,Man,Hong Kong,Bachelor’s degree,Software Engineer,20+ years,6,3-4 years,Computers/Technology,0-49 employees,1-2,60000-69999,Other,Small,Small,Data Engineer,65000.0,between 50k and 80k
4075,30-34,Man,Russia,Master’s degree,Data Scientist,1-3 years,3,1-2 years,Computers/Technology,0-49 employees,1-2,30000-39999,Europe,Small,Small,Data Scientist,35000.0,between 30k and 50k
4076,50-54,Man,India,Master’s degree,Data Analyst,3-5 years,3,Under 1 year,Accounting/Finance,0-49 employees,1-2,0-999,India,Small,Small,Data Analyst,500.0,less than 10k
4077,30-34,Woman,Pakistan,Doctoral degree,Machine Learning Engineer,3-5 years,2,2-3 years,Computers/Technology,50-249 employees,20+,5000-7499,Other,Medium,Large,Data Engineer,6250.0,less than 10k
4080,30-34,Man,China,Bachelor’s degree,Machine Learning Engineer,5-10 years,1,4-5 years,Retail/Sales,"1000-9,999 employees",3-4,70000-79999,Other,Large,Small,Data Engineer,75000.0,between 50k and 80k
4081,40-44,Man,Other,Bachelor’s degree,Software Engineer,20+ years,3,3-4 years,Accounting/Finance,"1000-9,999 employees",20+,125000-149999,Other,Large,Large,Data Engineer,137500.0,more than 125k
4083,22-24,Man,Ukraine,Master’s degree,Software Engineer,3-5 years,4,1-2 years,Manufacturing/Fabrication,0-49 employees,0,5000-7499,Europe,Small,No team,Data Engineer,6250.0,less than 10k
4085,22-24,Man,India,Master’s degree,Software Engineer,< 1 years,4,No experience,Computers/Technology,0-49 employees,1-2,0-999,India,Small,Small,Data Engineer,500.0,less than 10k
4087,35-39,Woman,USA,Master’s degree,Data Analyst,20+ years,2,1-2 years,Accounting/Finance,250-999 employees,10-14,70000-79999,USA,Large,Medium,Data Analyst,75000.0,between 50k and 80k
4088,22-24,Man,UK,Master’s degree,Data Engineer,3-5 years,2,Under 1 year,Academics/Education,"10,000 or more employees",20+,0-999,Europe,Large,Large,Data Engineer,500.0,less than 10k
4089,25-29,Man,Nigeria,Bachelor’s degree,Data Analyst,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,1-2,0-999,Other,Small,Small,Data Analyst,500.0,less than 10k
4091,25-29,Man,France,Master’s degree,Data Scientist,3-5 years,1,1-2 years,Marketing/CRM,0-49 employees,1-2,nan,Europe,Small,Small,Data Scientist,39176.716266486306,more than 125k
4092,30-34,Man,Other,Doctoral degree,Data Scientist,5-10 years,2,5-10 years,Computers/Technology,50-249 employees,5-9,50000-59999,Other,Medium,Small,Data Scientist,55000.0,between 50k and 80k
4094,40-44,Man,India,Master’s degree,Program/Project Manager,10-20 years,5,Under 1 year,Computers/Technology,"10,000 or more employees",3-4,4000-4999,India,Large,Small,Data Analyst,4500.0,less than 10k
4096,30-34,Man,Colombia,Bachelor’s degree,Data Analyst,1-3 years,2,1-2 years,Manufacturing/Fabrication,50-249 employees,3-4,10000-14999,Other,Medium,Small,Data Analyst,12500.0,between 10k and 30k
4097,45-49,Man,Spain,Master’s degree,Other,1-3 years,1,No experience,Energy/Mining,0-49 employees,0,60000-69999,Europe,Small,No team,Other,65000.0,between 50k and 80k
4099,25-29,Man,UK,Master’s degree,Data Scientist,1-3 years,2,2-3 years,Insurance/Risk Assessment,0-49 employees,3-4,50000-59999,Europe,Small,Small,Data Scientist,55000.0,between 50k and 80k
4101,45-49,Man,USA,Some college,Software Engineer,20+ years,6,10-20 years,Computers/Technology,250-999 employees,20+,200000-249999,USA,Large,Large,Data Engineer,225000.0,more than 125k
4102,30-34,Woman,USA,Master’s degree,Business Analyst,< 1 years,3,No experience,Academics/Education,0-49 employees,0,0-999,USA,Small,No team,Data Analyst,500.0,less than 10k
4104,30-34,Man,Saudi Arabia,Master’s degree,Data Scientist,5-10 years,4,3-4 years,Energy/Mining,"10,000 or more employees",5-9,60000-69999,Other,Large,Small,Data Scientist,65000.0,between 50k and 80k
4105,40-44,Man,India,Master’s degree,Data Scientist,3-5 years,5,Under 1 year,Government/Public Service,"10,000 or more employees",10-14,nan,India,Large,Medium,Data Scientist,39176.716266486306,more than 125k
4108,30-34,Man,Belgium,Master’s degree,Research Scientist,10-20 years,2,4-5 years,Computers/Technology,"10,000 or more employees",3-4,70000-79999,Europe,Large,Small,Data Scientist,75000.0,between 50k and 80k
4109,40-44,Man,Nigeria,Master’s degree,Machine Learning Engineer,3-5 years,1,4-5 years,Broadcasting/Communications,50-249 employees,3-4,1000-1999,Other,Medium,Small,Data Engineer,1500.0,less than 10k
4110,30-34,Woman,China,Bachelor’s degree,Business Analyst,5-10 years,4,Under 1 year,Energy/Mining,"10,000 or more employees",15-19,30000-39999,Other,Large,Medium,Data Analyst,35000.0,between 30k and 50k
4112,25-29,Man,Other,Doctoral degree,Research Scientist,1-3 years,2,1-2 years,Medical/Pharmaceutical,250-999 employees,3-4,70000-79999,Other,Large,Small,Data Scientist,75000.0,between 50k and 80k
4113,40-44,Man,UK,Doctoral degree,Software Engineer,1-3 years,1,1-2 years,Academics/Education,"1000-9,999 employees",3-4,50000-59999,Europe,Large,Small,Data Engineer,55000.0,between 50k and 80k
4114,50-54,Man,Brazil,High school,Research Scientist,20+ years,2,No experience,Academics/Education,"1000-9,999 employees",0,40000-49999,Other,Large,No team,Data Scientist,45000.0,between 30k and 50k
4115,25-29,Man,India,Bachelor’s degree,Data Analyst,5-10 years,2,2-3 years,Accounting/Finance,"10,000 or more employees",3-4,5000-7499,India,Large,Small,Data Analyst,6250.0,less than 10k
4116,22-24,Man,Bangladesh,Bachelor’s degree,Data Engineer,1-3 years,4,1-2 years,Academics/Education,0-49 employees,3-4,1000-1999,Other,Small,Small,Data Engineer,1500.0,less than 10k
4119,22-24,Man,Bangladesh,Some college,Data Scientist,1-3 years,2,1-2 years,Computers/Technology,0-49 employees,3-4,10000-14999,Other,Small,Small,Data Scientist,12500.0,between 10k and 30k
4121,22-24,Man,Singapore,Bachelor’s degree,Other,1-3 years,1,No experience,Government/Public Service,"1000-9,999 employees",20+,25000-29999,Other,Large,Large,Other,27500.0,between 10k and 30k
4122,40-44,Man,India,Master’s degree,Research Scientist,< 1 years,6,Under 1 year,Computers/Technology,50-249 employees,1-2,0-999,India,Medium,Small,Data Scientist,500.0,less than 10k
4124,25-29,Man,Brazil,Master’s degree,Data Analyst,1-3 years,2,1-2 years,Government/Public Service,"1000-9,999 employees",0,1000-1999,Other,Large,No team,Data Analyst,1500.0,less than 10k
4125,25-29,Man,Colombia,Bachelor’s degree,Software Engineer,3-5 years,4,Under 1 year,Computers/Technology,0-49 employees,1-2,5000-7499,Other,Small,Small,Data Engineer,6250.0,less than 10k
4127,40-44,Man,Canada,Bachelor’s degree,Program/Project Manager,5-10 years,2,Under 1 year,Government/Public Service,"1000-9,999 employees",0,60000-69999,Other,Large,No team,Data Analyst,65000.0,between 50k and 80k
4128,25-29,Man,Ghana,Bachelor’s degree,Other,1-3 years,1,Under 1 year,Medical/Pharmaceutical,0-49 employees,0,0-999,Other,Small,No team,Other,500.0,less than 10k
4135,35-39,Man,USA,Bachelor’s degree,Product Manager,5-10 years,1,No experience,Medical/Pharmaceutical,"10,000 or more employees",20+,nan,USA,Large,Large,Data Analyst,39176.716266486306,more than 125k
4136,30-34,Man,Other,Some college,Data Analyst,1-3 years,2,Under 1 year,Non-profit/Service,0-49 employees,3-4,0-999,Other,Small,Small,Data Analyst,500.0,less than 10k
4138,40-44,Man,Nigeria,Master’s degree,Other,< 1 years,1,Under 1 year,Academics/Education,"1000-9,999 employees",3-4,4000-4999,Other,Large,Small,Other,4500.0,less than 10k
4139,25-29,Woman,India,Bachelor’s degree,Software Engineer,3-5 years,3,Under 1 year,Computers/Technology,"10,000 or more employees",0,5000-7499,India,Large,No team,Data Engineer,6250.0,less than 10k
4140,25-29,Man,USA,Master’s degree,Data Analyst,3-5 years,1,2-3 years,Manufacturing/Fabrication,250-999 employees,1-2,60000-69999,USA,Large,Small,Data Analyst,65000.0,between 50k and 80k
4141,35-39,Man,Brazil,Bachelor’s degree,Data Scientist,< 1 years,2,Under 1 year,Computers/Technology,0-49 employees,1-2,4000-4999,Other,Small,Small,Data Scientist,4500.0,less than 10k
4142,40-44,Man,Egypt,I prefer not to answer,Machine Learning Engineer,5-10 years,1,Under 1 year,Manufacturing/Fabrication,50-249 employees,1-2,2000-2999,Other,Medium,Small,Data Engineer,2500.0,less than 10k
4144,22-24,Man,India,Bachelor’s degree,Other,5-10 years,1,2-3 years,Online Service/Internet-based Services,50-249 employees,0,4000-4999,India,Medium,No team,Other,4500.0,less than 10k
4146,25-29,Man,Saudi Arabia,Bachelor’s degree,Program/Project Manager,10-20 years,6,3-4 years,Computers/Technology,0-49 employees,0,1000-1999,Other,Small,No team,Data Analyst,1500.0,less than 10k
4147,50-54,Man,Germany,I prefer not to answer,Other,20+ years,5,2-3 years,Academics/Education,250-999 employees,1-2,0-999,Europe,Large,Small,Other,500.0,less than 10k
4149,30-34,Woman,Sweden,Master’s degree,Machine Learning Engineer,3-5 years,3,2-3 years,Computers/Technology,50-249 employees,5-9,50000-59999,Europe,Medium,Small,Data Engineer,55000.0,between 50k and 80k
4150,40-44,Man,Japan,Bachelor’s degree,Software Engineer,20+ years,1,2-3 years,Manufacturing/Fabrication,"10,000 or more employees",20+,4000-4999,Other,Large,Large,Data Engineer,4500.0,less than 10k
4153,40-44,Woman,Canada,Some college,Other,< 1 years,2,Under 1 year,Other,0-49 employees,0,2000-2999,Other,Small,No team,Other,2500.0,less than 10k
4154,30-34,Man,Turkey,Master’s degree,Data Scientist,5-10 years,3,1-2 years,Energy/Mining,"1000-9,999 employees",10-14,10000-14999,Other,Large,Medium,Data Scientist,12500.0,between 10k and 30k
4156,55-59,Man,Japan,Master’s degree,Other,< 1 years,2,Under 1 year,Manufacturing/Fabrication,"1000-9,999 employees",1-2,90000-99999,Other,Large,Small,Other,95000.0,between 80k and 125k
4158,25-29,Woman,Sri Lanka,Bachelor’s degree,Data Analyst,< 1 years,1,Under 1 year,Computers/Technology,0-49 employees,1-2,1000-1999,Other,Small,Small,Data Analyst,1500.0,less than 10k
4160,18-21,Man,Russia,Bachelor’s degree,Data Scientist,1-3 years,1,1-2 years,Government/Public Service,0-49 employees,1-2,0-999,Europe,Small,Small,Data Scientist,500.0,less than 10k
4161,25-29,Man,Japan,Master’s degree,Research Scientist,3-5 years,1,2-3 years,Medical/Pharmaceutical,"1000-9,999 employees",0,40000-49999,Other,Large,No team,Data Scientist,45000.0,between 30k and 50k
4162,18-21,Man,Pakistan,Bachelor’s degree,Machine Learning Engineer,3-5 years,1,2-3 years,Academics/Education,"1000-9,999 employees",5-9,0-999,Other,Large,Small,Data Engineer,500.0,less than 10k
4163,18-21,Man,India,Some college,Data Analyst,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,0,nan,India,Small,No team,Data Analyst,39176.716266486306,more than 125k
4166,18-21,Man,Peru,Bachelor’s degree,Business Analyst,< 1 years,3,Under 1 year,Energy/Mining,0-49 employees,1-2,0-999,Other,Small,Small,Data Analyst,500.0,less than 10k
4169,50-54,Man,Germany,Master’s degree,Product Manager,< 1 years,1,Under 1 year,Computers/Technology,"1000-9,999 employees",20+,60000-69999,Europe,Large,Large,Data Analyst,65000.0,between 50k and 80k
4171,25-29,Man,South Korea,Master’s degree,Software Engineer,3-5 years,3,Under 1 year,Computers/Technology,0-49 employees,1-2,15000-19999,Other,Small,Small,Data Engineer,17500.0,between 10k and 30k
4172,55-59,Man,South Korea,Professional doctorate,Machine Learning Engineer,5-10 years,3,1-2 years,Academics/Education,0-49 employees,3-4,10000-14999,Other,Small,Small,Data Engineer,12500.0,between 10k and 30k
4173,25-29,Man,Viet Nam,Master’s degree,Machine Learning Engineer,3-5 years,1,2-3 years,Computers/Technology,50-249 employees,20+,25000-29999,Other,Medium,Large,Data Engineer,27500.0,between 10k and 30k
4179,40-44,Woman,Italy,Doctoral degree,Data Scientist,20+ years,3,20 or more years,Shipping/Transportation,250-999 employees,5-9,nan,Europe,Large,Small,Data Scientist,39176.716266486306,more than 125k
4180,25-29,Woman,India,Master’s degree,Data Scientist,1-3 years,2,2-3 years,Academics/Education,"10,000 or more employees",1-2,25000-29999,India,Large,Small,Data Scientist,27500.0,between 10k and 30k
4181,45-49,Man,India,Master’s degree,Software Engineer,20+ years,2,1-2 years,Computers/Technology,250-999 employees,0,15000-19999,India,Large,No team,Data Engineer,17500.0,between 10k and 30k
4182,25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 years,1,Under 1 year,Academics/Education,"1000-9,999 employees",10-14,0-999,India,Large,Medium,Data Scientist,500.0,less than 10k
4183,25-29,Man,Spain,Master’s degree,Data Scientist,< 1 years,4,Under 1 year,Computers/Technology,250-999 employees,20+,25000-29999,Europe,Large,Large,Data Scientist,27500.0,between 10k and 30k
4185,30-34,Man,Colombia,Master’s degree,Software Engineer,3-5 years,4,1-2 years,Other,"1000-9,999 employees",20+,2000-2999,Other,Large,Large,Data Engineer,2500.0,less than 10k
4186,35-39,Woman,Egypt,Professional doctorate,Machine Learning Engineer,5-10 years,1,5-10 years,Academics/Education,"1000-9,999 employees",15-19,5000-7499,Other,Large,Medium,Data Engineer,6250.0,less than 10k
4187,40-44,Man,Germany,Master’s degree,Program/Project Manager,1-3 years,1,Under 1 year,Accounting/Finance,50-249 employees,0,80000-89999,Europe,Medium,No team,Data Analyst,85000.0,between 80k and 125k
4188,25-29,Woman,India,Bachelor’s degree,Software Engineer,3-5 years,2,1-2 years,Computers/Technology,"10,000 or more employees",5-9,7500-9999,India,Large,Small,Data Engineer,8750.0,less than 10k
4189,22-24,Man,USA,Bachelor’s degree,Data Scientist,1-3 years,1,2-3 years,Accounting/Finance,"10,000 or more employees",20+,150000-199999,USA,Large,Large,Data Scientist,175000.0,more than 125k
4192,45-49,Man,Japan,Professional doctorate,Data Scientist,10-20 years,3,3-4 years,Medical/Pharmaceutical,"1000-9,999 employees",1-2,60000-69999,Other,Large,Small,Data Scientist,65000.0,between 50k and 80k
4194,25-29,Man,India,Master’s degree,Data Scientist,3-5 years,5,1-2 years,Computers/Technology,0-49 employees,3-4,1000-1999,India,Small,Small,Data Scientist,1500.0,less than 10k
4196,55-59,Man,Singapore,Master’s degree,Data Scientist,20+ years,9,4-5 years,Retail/Sales,0-49 employees,5-9,7500-9999,Other,Small,Small,Data Scientist,8750.0,less than 10k
4198,22-24,Man,Other,Bachelor’s degree,Data Analyst,< 1 years,1,1-2 years,Computers/Technology,0-49 employees,5-9,0-999,Other,Small,Small,Data Analyst,500.0,less than 10k
4203,35-39,Man,Ukraine,Master’s degree,Software Engineer,10-20 years,2,Under 1 year,Accounting/Finance,0-49 employees,0,20000-24999,Europe,Small,No team,Data Engineer,22500.0,between 10k and 30k
4206,30-34,Woman,Iran,Doctoral degree,Machine Learning Engineer,10-20 years,1,10-20 years,Academics/Education,"1000-9,999 employees",3-4,0-999,Other,Large,Small,Data Engineer,500.0,less than 10k
4207,18-21,Woman,Brazil,Bachelor’s degree,Data Analyst,5-10 years,3,Under 1 year,Accounting/Finance,"1000-9,999 employees",20+,3000-3999,Other,Large,Large,Data Analyst,3500.0,less than 10k
4211,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,1,Under 1 year,Computers/Technology,250-999 employees,1-2,3000-3999,India,Large,Small,Data Analyst,3500.0,less than 10k
4213,30-34,Man,India,Master’s degree,Software Engineer,5-10 years,3,2-3 years,Medical/Pharmaceutical,"10,000 or more employees",20+,15000-19999,India,Large,Large,Data Engineer,17500.0,between 10k and 30k
4215,35-39,Man,UK,Master’s degree,Other,< 1 years,2,No experience,Accounting/Finance,250-999 employees,0,125000-149999,Europe,Large,No team,Other,137500.0,more than 125k
4216,55-59,Man,Switzerland,Master’s degree,Program/Project Manager,10-20 years,5,Under 1 year,Retail/Sales,0-49 employees,10-14,100000-124999,Europe,Small,Medium,Data Analyst,112500.0,between 80k and 125k
4217,35-39,Woman,USA,Master’s degree,Data Scientist,20+ years,2,4-5 years,Broadcasting/Communications,"1000-9,999 employees",1-2,100000-124999,USA,Large,Small,Data Scientist,112500.0,between 80k and 125k
4221,25-29,Man,Indonesia,Master’s degree,Program/Project Manager,< 1 years,3,No experience,Other,0-49 employees,0,4000-4999,Other,Small,No team,Data Analyst,4500.0,less than 10k
4225,30-34,Woman,UK,Bachelor’s degree,Data Scientist,1-3 years,2,Under 1 year,Manufacturing/Fabrication,250-999 employees,1-2,nan,Europe,Large,Small,Data Scientist,39176.716266486306,more than 125k
4226,22-24,Woman,USA,Bachelor’s degree,Other,3-5 years,3,1-2 years,Military/Security/Defense,"10,000 or more employees",20+,70000-79999,USA,Large,Large,Other,75000.0,between 50k and 80k
4227,45-49,Man,Colombia,Some college,Machine Learning Engineer,3-5 years,2,1-2 years,Government/Public Service,0-49 employees,1-2,2000-2999,Other,Small,Small,Data Engineer,2500.0,less than 10k
4228,22-24,Man,Poland,Bachelor’s degree,Software Engineer,3-5 years,4,Under 1 year,Insurance/Risk Assessment,50-249 employees,1-2,25000-29999,Europe,Medium,Small,Data Engineer,27500.0,between 10k and 30k
4229,25-29,Man,Japan,Some college,Other,< 1 years,2,Under 1 year,Shipping/Transportation,"1000-9,999 employees",0,3000-3999,Other,Large,No team,Other,3500.0,less than 10k
4233,30-34,Man,USA,Master’s degree,Data Scientist,3-5 years,1,3-4 years,Computers/Technology,50-249 employees,1-2,125000-149999,USA,Medium,Small,Data Scientist,137500.0,more than 125k
4234,30-34,Man,Germany,Bachelor’s degree,Data Scientist,1-3 years,1,1-2 years,Online Service/Internet-based Services,0-49 employees,3-4,1000-1999,Europe,Small,Small,Data Scientist,1500.0,less than 10k
4235,25-29,Man,Singapore,Bachelor’s degree,Data Analyst,1-3 years,3,Under 1 year,Computers/Technology,"10,000 or more employees",20+,2000-2999,Other,Large,Large,Data Analyst,2500.0,less than 10k
4236,22-24,Woman,India,Bachelor’s degree,Data Scientist,1-3 years,3,1-2 years,Marketing/CRM,250-999 employees,15-19,0-999,India,Large,Medium,Data Scientist,500.0,less than 10k
4241,18-21,Woman,India,Bachelor’s degree,Data Scientist,1-3 years,4,Under 1 year,Computers/Technology,"10,000 or more employees",3-4,nan,India,Large,Small,Data Scientist,39176.716266486306,more than 125k
4242,35-39,Man,India,Bachelor’s degree,Software Engineer,5-10 years,1,No experience,Other,"10,000 or more employees",0,15000-19999,India,Large,No team,Data Engineer,17500.0,between 10k and 30k
4249,25-29,Woman,India,Bachelor’s degree,DBA/Database Engineer,5-10 years,2,Under 1 year,Manufacturing/Fabrication,"10,000 or more employees",20+,10000-14999,India,Large,Large,Data Engineer,12500.0,between 10k and 30k
4250,50-54,Man,Spain,High school,Data Analyst,< 1 years,1,Under 1 year,Academics/Education,0-49 employees,1-2,2000-2999,Europe,Small,Small,Data Analyst,2500.0,less than 10k
4252,45-49,Man,Other,Bachelor’s degree,Data Scientist,20+ years,2,2-3 years,Manufacturing/Fabrication,250-999 employees,1-2,100000-124999,Other,Large,Small,Data Scientist,112500.0,between 80k and 125k
4256,50-54,Man,Japan,Some college,Program/Project Manager,20+ years,5,1-2 years,Computers/Technology,"10,000 or more employees",5-9,50000-59999,Other,Large,Small,Data Analyst,55000.0,between 50k and 80k
4266,30-34,Woman,India,Bachelor’s degree,Business Analyst,1-3 years,4,Under 1 year,Computers/Technology,0-49 employees,3-4,1000-1999,India,Small,Small,Data Analyst,1500.0,less than 10k
4267,40-44,Woman,India,Master’s degree,Other,3-5 years,3,No experience,Computers/Technology,0-49 employees,1-2,0-999,India,Small,Small,Other,500.0,less than 10k
4269,35-39,Woman,India,Master’s degree,Other,5-10 years,4,1-2 years,Computers/Technology,0-49 employees,3-4,25000-29999,India,Small,Small,Other,27500.0,between 10k and 30k
4271,30-34,Man,Japan,Master’s degree,Data Scientist,10-20 years,2,4-5 years,Manufacturing/Fabrication,"10,000 or more employees",20+,60000-69999,Other,Large,Large,Data Scientist,65000.0,between 50k and 80k
4272,22-24,Man,China,Doctoral degree,Data Analyst,< 1 years,3,Under 1 year,Academics/Education,0-49 employees,1-2,0-999,Other,Small,Small,Data Analyst,500.0,less than 10k
4275,18-21,Man,UK,Master’s degree,Machine Learning Engineer,1-3 years,3,Under 1 year,Energy/Mining,"10,000 or more employees",0,30000-39999,Europe,Large,No team,Data Engineer,35000.0,between 30k and 50k
4276,22-24,Woman,India,I prefer not to answer,Other,3-5 years,1,Under 1 year,Computers/Technology,"10,000 or more employees",0,4000-4999,India,Large,No team,Other,4500.0,less than 10k
4277,25-29,Man,Nigeria,Master’s degree,Other,< 1 years,1,Under 1 year,Medical/Pharmaceutical,"1000-9,999 employees",0,nan,Other,Large,No team,Other,39176.716266486306,more than 125k
4279,50-54,Man,Taiwan,Some college,Statistician,< 1 years,1,1-2 years,Computers/Technology,50-249 employees,1-2,0-999,Other,Medium,Small,Data Scientist,500.0,less than 10k
4282,25-29,Man,Spain,Bachelor’s degree,Data Engineer,5-10 years,2,3-4 years,Accounting/Finance,0-49 employees,1-2,25000-29999,Europe,Small,Small,Data Engineer,27500.0,between 10k and 30k
4284,30-34,Man,Other,Bachelor’s degree,Machine Learning Engineer,5-10 years,3,2-3 years,Shipping/Transportation,250-999 employees,3-4,60000-69999,Other,Large,Small,Data Engineer,65000.0,between 50k and 80k
4286,50-54,Woman,Colombia,Master’s degree,Other,< 1 years,3,No experience,Energy/Mining,"10,000 or more employees",20+,5000-7499,Other,Large,Large,Other,6250.0,less than 10k
4289,25-29,Man,Colombia,Master’s degree,Other,1-3 years,2,Under 1 year,Other,250-999 employees,10-14,5000-7499,Other,Large,Medium,Other,6250.0,less than 10k
4290,22-24,Man,Bangladesh,Bachelor’s degree,Machine Learning Engineer,1-3 years,3,No experience,Online Business/Internet-based Sales,0-49 employees,0,4000-4999,Other,Small,No team,Data Engineer,4500.0,less than 10k
4291,55-59,Man,Italy,Master’s degree,Software Engineer,20+ years,8,Under 1 year,Computers/Technology,50-249 employees,1-2,40000-49999,Europe,Medium,Small,Data Engineer,45000.0,between 30k and 50k
4292,25-29,Woman,India,Master’s degree,Data Scientist,1-3 years,1,1-2 years,Computers/Technology,0-49 employees,1-2,3000-3999,India,Small,Small,Data Scientist,3500.0,less than 10k
4296,40-44,Man,Turkey,Doctoral degree,Research Scientist,1-3 years,2,2-3 years,Academics/Education,0-49 employees,1-2,10000-14999,Other,Small,Small,Data Scientist,12500.0,between 10k and 30k
4297,30-34,Man,India,Master’s degree,Data Analyst,< 1 years,1,Under 1 year,Manufacturing/Fabrication,50-249 employees,0,10000-14999,India,Medium,No team,Data Analyst,12500.0,between 10k and 30k
4299,30-34,Man,Colombia,Master’s degree,Software Engineer,10-20 years,2,Under 1 year,Non-profit/Service,0-49 employees,3-4,20000-24999,Other,Small,Small,Data Engineer,22500.0,between 10k and 30k
4300,30-34,Man,China,Bachelor’s degree,Data Engineer,1-3 years,4,Under 1 year,Military/Security/Defense,0-49 employees,1-2,2000-2999,Other,Small,Small,Data Engineer,2500.0,less than 10k
4301,30-34,Man,Brazil,Bachelor’s degree,Business Analyst,< 1 years,2,Under 1 year,Accounting/Finance,"1000-9,999 employees",20+,10000-14999,Other,Large,Large,Data Analyst,12500.0,between 10k and 30k
4302,22-24,Woman,UK,Bachelor’s degree,Software Engineer,1-3 years,5,Under 1 year,Academics/Education,250-999 employees,3-4,4000-4999,Europe,Large,Small,Data Engineer,4500.0,less than 10k
4303,30-34,Man,India,I prefer not to answer,Other,3-5 years,3,No experience,Insurance/Risk Assessment,"10,000 or more employees",0,5000-7499,India,Large,No team,Other,6250.0,less than 10k
4305,30-34,Man,UK,Bachelor’s degree,Data Analyst,< 1 years,3,Under 1 year,Computers/Technology,250-999 employees,3-4,25000-29999,Europe,Large,Small,Data Analyst,27500.0,between 10k and 30k
4306,50-54,Man,Singapore,Doctoral degree,Research Scientist,20+ years,3,20 or more years,Computers/Technology,0-49 employees,3-4,250000-299999,Other,Small,Small,Data Scientist,275000.0,more than 125k
4307,40-44,Man,South Korea,Some college,Software Engineer,10-20 years,1,Under 1 year,Academics/Education,0-49 employees,0,0-999,Other,Small,No team,Data Engineer,500.0,less than 10k
4309,30-34,Man,Other,Master’s degree,Data Scientist,5-10 years,4,5-10 years,Manufacturing/Fabrication,"10,000 or more employees",3-4,30000-39999,Other,Large,Small,Data Scientist,35000.0,between 30k and 50k
4310,25-29,Man,Turkey,Master’s degree,Other,5-10 years,5,4-5 years,Academics/Education,"1000-9,999 employees",0,7500-9999,Other,Large,No team,Other,8750.0,less than 10k
4311,35-39,Man,Pakistan,Master’s degree,Business Analyst,1-3 years,3,1-2 years,Computers/Technology,"10,000 or more employees",3-4,50000-59999,Other,Large,Small,Data Analyst,55000.0,between 50k and 80k
4314,50-54,Man,USA,Some college,Data Scientist,< 1 years,1,Under 1 year,Computers/Technology,"1000-9,999 employees",1-2,150000-199999,USA,Large,Small,Data Scientist,175000.0,more than 125k
4317,35-39,Man,Indonesia,High school,Other,1-3 years,3,Under 1 year,Computers/Technology,0-49 employees,0,0-999,Other,Small,No team,Other,500.0,less than 10k
4318,35-39,Man,USA,Doctoral degree,Other,10-20 years,2,5-10 years,Insurance/Risk Assessment,0-49 employees,3-4,200000-249999,USA,Small,Small,Other,225000.0,more than 125k
4319,35-39,Man,Netherlands,Bachelor’s degree,Software Engineer,5-10 years,2,No experience,Computers/Technology,"10,000 or more employees",20+,100000-124999,Europe,Large,Large,Data Engineer,112500.0,between 80k and 125k
4320,25-29,Man,Russia,Master’s degree,Other,1-3 years,2,1-2 years,Other,50-249 employees,0,2000-2999,Europe,Medium,No team,Other,2500.0,less than 10k
4322,30-34,Woman,USA,Master’s degree,Data Scientist,1-3 years,2,Under 1 year,Other,"10,000 or more employees",1-2,100000-124999,USA,Large,Small,Data Scientist,112500.0,between 80k and 125k
4323,35-39,Man,India,Bachelor’s degree,Data Analyst,5-10 years,1,No experience,Computers/Technology,"10,000 or more employees",20+,25000-29999,India,Large,Large,Data Analyst,27500.0,between 10k and 30k
4324,30-34,Man,USA,Bachelor’s degree,Software Engineer,3-5 years,2,Under 1 year,Online Service/Internet-based Services,0-49 employees,1-2,60000-69999,USA,Small,Small,Data Engineer,65000.0,between 50k and 80k
4325,25-29,Man,Other,Bachelor’s degree,Data Scientist,< 1 years,2,Under 1 year,Academics/Education,0-49 employees,5-9,0-999,Other,Small,Small,Data Scientist,500.0,less than 10k
