,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary,country_group,company_size_g,team_size_g,salary_avg,salary_group,role_group
7461,22-24,Man,Other,Bachelor’s degree,Data Analyst,< 1 years,3,Under 1 year,Academics/Education,0-49 employees,10-14,0-999,Other,Small,Medium,500.0,less than 10k,Data Analyst
7463,50-54,Man,USA,Doctoral degree,Other,20+ years,3,20 or more years,Academics/Education,"1000-9,999 employees",20+,150000-199999,USA,Large,Large,175000.0,more than 125k,Other
7467,25-29,Man,UK,Master’s degree,Data Analyst,1-3 years,2,2-3 years,Other,50-249 employees,1-2,30000-39999,Europe,Medium,Small,35000.0,between 30k and 50k,Data Analyst
7469,18-21,Woman,India,Bachelor’s degree,Machine Learning Engineer,1-3 years,4,Under 1 year,Computers/Technology,0-49 employees,5-9,0-999,India,Small,Small,500.0,less than 10k,Data Engineer
7470,40-44,Woman,UAE,Bachelor’s degree,Program/Project Manager,5-10 years,4,Under 1 year,Government/Public Service,250-999 employees,1-2,1000-1999,Other,Large,Small,1500.0,less than 10k,Data Analyst
7474,45-49,Man,Argentina,Bachelor’s degree,Data Analyst,< 1 years,2,Under 1 year,Energy/Mining,"1000-9,999 employees",3-4,10000-14999,Other,Large,Small,12500.0,between 10k and 30k,Data Analyst
7475,25-29,Man,Brazil,Master’s degree,Data Engineer,3-5 years,2,2-3 years,Other,"10,000 or more employees",10-14,1000-1999,Other,Large,Medium,1500.0,less than 10k,Data Engineer
7477,30-34,Other,Canada,Master’s degree,Other,20+ years,5,5-10 years,Government/Public Service,0-49 employees,10-14,150000-199999,Other,Small,Medium,175000.0,more than 125k,Other
7480,40-44,Man,Taiwan,Doctoral degree,Software Engineer,5-10 years,3,2-3 years,Computers/Technology,"1000-9,999 employees",3-4,4000-4999,Other,Large,Small,4500.0,less than 10k,Data Engineer
7482,25-29,Man,Pakistan,Bachelor’s degree,Machine Learning Engineer,1-3 years,4,1-2 years,Computers/Technology,0-49 employees,3-4,4000-4999,Other,Small,Small,4500.0,less than 10k,Data Engineer
7483,35-39,Man,Nigeria,Bachelor’s degree,Data Engineer,1-3 years,3,2-3 years,Academics/Education,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Engineer
7484,22-24,Woman,Pakistan,Master’s degree,Data Scientist,1-3 years,1,Under 1 year,Academics/Education,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Data Scientist
7485,25-29,Other,France,Master’s degree,Data Scientist,1-3 years,2,1-2 years,Other,0-49 employees,0,0-999,Europe,Small,No team,500.0,less than 10k,Data Scientist
7486,35-39,Man,USA,Doctoral degree,Other,1-3 years,2,Under 1 year,Computers/Technology,"10,000 or more employees",20+,200000-249999,USA,Large,Large,225000.0,more than 125k,Other
7487,55-59,Man,Netherlands,Master’s degree,Data Scientist,20+ years,3,10-20 years,Marketing/CRM,"1000-9,999 employees",15-19,100000-124999,Europe,Large,Medium,112500.0,between 80k and 125k,Data Scientist
7489,40-44,Man,Canada,Doctoral degree,Research Scientist,10-20 years,3,5-10 years,Energy/Mining,"10,000 or more employees",20+,125000-149999,Other,Large,Large,137500.0,more than 125k,Data Scientist
7490,25-29,Man,Japan,Bachelor’s degree,Software Engineer,3-5 years,1,No experience,Computers/Technology,250-999 employees,0,4000-4999,Other,Large,No team,4500.0,less than 10k,Data Engineer
7499,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,Under 1 year,Computers/Technology,0-49 employees,20+,5000-7499,India,Small,Large,6250.0,less than 10k,Data Engineer
7501,22-24,Man,India,Master’s degree,Data Scientist,< 1 years,1,Under 1 year,Other,50-249 employees,1-2,1000-1999,India,Medium,Small,1500.0,less than 10k,Data Scientist
7502,30-34,Man,India,Bachelor’s degree,Other,5-10 years,2,No experience,Computers/Technology,250-999 employees,1-2,25000-29999,India,Large,Small,27500.0,between 10k and 30k,Other
7503,30-34,Woman,Turkey,Bachelor’s degree,Other,1-3 years,1,Under 1 year,Other,"1000-9,999 employees",20+,10000-14999,Other,Large,Large,12500.0,between 10k and 30k,Other
7505,30-34,Man,Denmark,Doctoral degree,Research Scientist,3-5 years,2,Under 1 year,Academics/Education,"1000-9,999 employees",20+,90000-99999,Europe,Large,Large,95000.0,between 80k and 125k,Data Scientist
7506,22-24,Woman,Iran,Doctoral degree,Statistician,< 1 years,2,2-3 years,Insurance/Risk Assessment,250-999 employees,3-4,0-999,Other,Large,Small,500.0,less than 10k,Data Scientist
7508,40-44,Man,Spain,Master’s degree,Product Manager,3-5 years,3,2-3 years,Computers/Technology,"10,000 or more employees",3-4,90000-99999,Europe,Large,Small,95000.0,between 80k and 125k,Data Analyst
7509,30-34,Man,India,Bachelor’s degree,Software Engineer,10-20 years,1,Under 1 year,Computers/Technology,"10,000 or more employees",5-9,10000-14999,India,Large,Small,12500.0,between 10k and 30k,Data Engineer
7511,22-24,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,1,2-3 years,Other,0-49 employees,0,0-999,India,Small,No team,500.0,less than 10k,Data Engineer
7512,35-39,Woman,India,Bachelor’s degree,Other,1-3 years,1,No experience,Accounting/Finance,"10,000 or more employees",20+,4000-4999,India,Large,Large,4500.0,less than 10k,Other
7513,40-44,Man,Other,Bachelor’s degree,Product Manager,20+ years,3,4-5 years,Broadcasting/Communications,"10,000 or more employees",5-9,150000-199999,Other,Large,Small,175000.0,more than 125k,Data Analyst
7514,25-29,Man,Ghana,Some college,Software Engineer,3-5 years,2,Under 1 year,Accounting/Finance,0-49 employees,1-2,5000-7499,Other,Small,Small,6250.0,less than 10k,Data Engineer
7516,25-29,Man,Ukraine,Master’s degree,Machine Learning Engineer,3-5 years,2,3-4 years,Manufacturing/Fabrication,0-49 employees,15-19,40000-49999,Europe,Small,Medium,45000.0,between 30k and 50k,Data Engineer
7517,22-24,Man,Egypt,Bachelor’s degree,Data Scientist,3-5 years,1,Under 1 year,Computers/Technology,"10,000 or more employees",20+,0-999,Other,Large,Large,500.0,less than 10k,Data Scientist
7518,40-44,Man,Chile,Doctoral degree,Data Scientist,10-20 years,2,5-10 years,Retail/Sales,0-49 employees,3-4,50000-59999,Other,Small,Small,55000.0,between 50k and 80k,Data Scientist
7520,40-44,Man,Thailand,Master’s degree,Data Scientist,1-3 years,1,1-2 years,Other,"1000-9,999 employees",20+,4000-4999,Other,Large,Large,4500.0,less than 10k,Data Scientist
7521,35-39,Man,Nigeria,Master’s degree,Business Analyst,< 1 years,1,Under 1 year,Accounting/Finance,"1000-9,999 employees",5-9,2000-2999,Other,Large,Small,2500.0,less than 10k,Data Analyst
7524,18-21,Woman,India,Master’s degree,Data Analyst,3-5 years,2,Under 1 year,Other,0-49 employees,0,0-999,India,Small,No team,500.0,less than 10k,Data Analyst
7527,22-24,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years,1,Under 1 year,Computers/Technology,0-49 employees,0,0-999,India,Small,No team,500.0,less than 10k,Data Engineer
7528,25-29,Man,Turkey,Bachelor’s degree,Data Scientist,5-10 years,5,1-2 years,Academics/Education,50-249 employees,0,0-999,Other,Medium,No team,500.0,less than 10k,Data Scientist
7533,22-24,Man,India,Bachelor’s degree,Software Engineer,5-10 years,3,2-3 years,Shipping/Transportation,"10,000 or more employees",10-14,15000-19999,India,Large,Medium,17500.0,between 10k and 30k,Data Engineer
7534,35-39,Man,USA,Doctoral degree,Data Scientist,1-3 years,3,2-3 years,Hospitality/Entertainment/Sports,"10,000 or more employees",20+,100000-124999,USA,Large,Large,112500.0,between 80k and 125k,Data Scientist
7535,30-34,Man,India,Doctoral degree,Research Scientist,3-5 years,2,Under 1 year,Academics/Education,0-49 employees,3-4,0-999,India,Small,Small,500.0,less than 10k,Data Scientist
7536,30-34,Man,Brazil,Master’s degree,Machine Learning Engineer,10-20 years,5,10-20 years,Computers/Technology,"1000-9,999 employees",20+,80000-89999,Other,Large,Large,85000.0,between 80k and 125k,Data Engineer
7537,30-34,Woman,India,Bachelor’s degree,Software Engineer,10-20 years,4,Under 1 year,Other,"1000-9,999 employees",20+,15000-19999,India,Large,Large,17500.0,between 10k and 30k,Data Engineer
7538,18-21,Man,Russia,Bachelor’s degree,Data Scientist,3-5 years,4,2-3 years,Academics/Education,"10,000 or more employees",0,10000-14999,Europe,Large,No team,12500.0,between 10k and 30k,Data Scientist
7539,30-34,Man,Mexico,Doctoral degree,Research Scientist,3-5 years,3,1-2 years,Government/Public Service,50-249 employees,1-2,60000-69999,Other,Medium,Small,65000.0,between 50k and 80k,Data Scientist
7541,30-34,Man,France,Master’s degree,Data Engineer,3-5 years,2,2-3 years,Insurance/Risk Assessment,"10,000 or more employees",20+,40000-49999,Europe,Large,Large,45000.0,between 30k and 50k,Data Engineer
7542,60-69,Man,USA,Bachelor’s degree,Data Scientist,20+ years,1,Under 1 year,Medical/Pharmaceutical,"10,000 or more employees",15-19,100000-124999,USA,Large,Medium,112500.0,between 80k and 125k,Data Scientist
7543,18-21,Man,Canada,Bachelor’s degree,Data Scientist,< 1 years,2,No experience,Computers/Technology,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Data Scientist
7544,30-34,Man,Japan,Master’s degree,Machine Learning Engineer,10-20 years,1,3-4 years,Energy/Mining,0-49 employees,3-4,60000-69999,Other,Small,Small,65000.0,between 50k and 80k,Data Engineer
7545,30-34,Man,Russia,High school,Data Scientist,1-3 years,3,Under 1 year,Shipping/Transportation,0-49 employees,1-2,15000-19999,Europe,Small,Small,17500.0,between 10k and 30k,Data Scientist
7548,60-69,Man,Argentina,Master’s degree,Business Analyst,10-20 years,3,1-2 years,Marketing/CRM,50-249 employees,1-2,50000-59999,Other,Medium,Small,55000.0,between 50k and 80k,Data Analyst
7551,50-54,Man,USA,Bachelor’s degree,Data Scientist,20+ years,2,Under 1 year,Accounting/Finance,0-49 employees,1-2,0-999,USA,Small,Small,500.0,less than 10k,Data Scientist
7555,22-24,Man,USA,Master’s degree,Machine Learning Engineer,3-5 years,2,2-3 years,Online Business/Internet-based Sales,"1000-9,999 employees",15-19,90000-99999,USA,Large,Medium,95000.0,between 80k and 125k,Data Engineer
7556,45-49,Man,Japan,Master’s degree,Program/Project Manager,20+ years,3,20 or more years,Other,250-999 employees,20+,90000-99999,Other,Large,Large,95000.0,between 80k and 125k,Data Analyst
7558,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,Under 1 year,Computers/Technology,50-249 employees,3-4,15000-19999,India,Medium,Small,17500.0,between 10k and 30k,Data Engineer
7559,45-49,Man,Israel,Doctoral degree,Data Scientist,20+ years,4,Under 1 year,Online Service/Internet-based Services,50-249 employees,3-4,125000-149999,Other,Medium,Small,137500.0,more than 125k,Data Scientist
7560,18-21,Man,Pakistan,Some college,Data Analyst,< 1 years,3,Under 1 year,Computers/Technology,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Analyst
7563,25-29,Woman,Poland,Master’s degree,Data Scientist,5-10 years,3,3-4 years,Online Service/Internet-based Services,50-249 employees,1-2,30000-39999,Europe,Medium,Small,35000.0,between 30k and 50k,Data Scientist
7566,25-29,Man,Spain,Bachelor’s degree,Software Engineer,3-5 years,4,1-2 years,Computers/Technology,"1000-9,999 employees",5-9,15000-19999,Europe,Large,Small,17500.0,between 10k and 30k,Data Engineer
7567,60-69,Man,USA,Bachelor’s degree,Statistician,5-10 years,1,Under 1 year,Government/Public Service,0-49 employees,0,0-999,USA,Small,No team,500.0,less than 10k,Data Scientist
7570,30-34,Man,India,Professional doctorate,Data Engineer,3-5 years,3,2-3 years,Manufacturing/Fabrication,"10,000 or more employees",20+,20000-24999,India,Large,Large,22500.0,between 10k and 30k,Data Engineer
7571,18-21,Man,Egypt,Bachelor’s degree,Data Scientist,1-3 years,4,Under 1 year,Computers/Technology,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Scientist
7574,25-29,Man,Canada,Master’s degree,Data Scientist,3-5 years,2,3-4 years,Marketing/CRM,"1000-9,999 employees",10-14,90000-99999,Other,Large,Medium,95000.0,between 80k and 125k,Data Scientist
7575,22-24,Man,Kenya,Bachelor’s degree,Machine Learning Engineer,3-5 years,1,3-4 years,Medical/Pharmaceutical,0-49 employees,3-4,7500-9999,Other,Small,Small,8750.0,less than 10k,Data Engineer
7576,45-49,Man,Russia,Master’s degree,Other,20+ years,4,Under 1 year,Broadcasting/Communications,"10,000 or more employees",20+,1000-1999,Europe,Large,Large,1500.0,less than 10k,Other
7578,30-34,Man,Other,Bachelor’s degree,Data Analyst,5-10 years,2,1-2 years,Accounting/Finance,250-999 employees,1-2,30000-39999,Other,Large,Small,35000.0,between 30k and 50k,Data Analyst
7579,35-39,Other,India,Master’s degree,Program/Project Manager,1-3 years,3,2-3 years,Accounting/Finance,"10,000 or more employees",20+,2000-2999,India,Large,Large,2500.0,less than 10k,Data Analyst
7584,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,3,Under 1 year,Academics/Education,"10,000 or more employees",0,10000-14999,India,Large,No team,12500.0,between 10k and 30k,Data Engineer
7590,30-34,Woman,Other,Master’s degree,Other,3-5 years,2,1-2 years,Academics/Education,"10,000 or more employees",0,20000-24999,Other,Large,No team,22500.0,between 10k and 30k,Other
7592,45-49,Man,Other,Doctoral degree,Research Scientist,10-20 years,1,5-10 years,Academics/Education,"1000-9,999 employees",1-2,40000-49999,Other,Large,Small,45000.0,between 30k and 50k,Data Scientist
7593,35-39,Man,Singapore,Master’s degree,Data Scientist,3-5 years,2,10-20 years,Online Service/Internet-based Services,250-999 employees,20+,200000-249999,Other,Large,Large,225000.0,more than 125k,Data Scientist
7594,18-21,Woman,India,Bachelor’s degree,Software Engineer,1-3 years,1,No experience,Other,0-49 employees,0,0-999,India,Small,No team,500.0,less than 10k,Data Engineer
7595,45-49,Man,Italy,Master’s degree,Data Scientist,3-5 years,1,4-5 years,Academics/Education,0-49 employees,5-9,10000-14999,Europe,Small,Small,12500.0,between 10k and 30k,Data Scientist
7597,25-29,Man,USA,Master’s degree,Machine Learning Engineer,10-20 years,5,5-10 years,Online Service/Internet-based Services,"10,000 or more employees",20+,125000-149999,USA,Large,Large,137500.0,more than 125k,Data Engineer
7598,35-39,Man,Hong Kong,Master’s degree,Other,< 1 years,1,Under 1 year,Academics/Education,50-249 employees,0,30000-39999,Other,Medium,No team,35000.0,between 30k and 50k,Other
7599,25-29,Man,Other,Master’s degree,Statistician,1-3 years,3,2-3 years,Academics/Education,50-249 employees,3-4,0-999,Other,Medium,Small,500.0,less than 10k,Data Scientist
7600,30-34,Man,Brazil,Bachelor’s degree,Data Scientist,3-5 years,2,2-3 years,Retail/Sales,"1000-9,999 employees",20+,30000-39999,Other,Large,Large,35000.0,between 30k and 50k,Data Scientist
7605,50-54,Man,Spain,Some college,Data Scientist,10-20 years,2,Under 1 year,Computers/Technology,50-249 employees,0,1000-1999,Europe,Medium,No team,1500.0,less than 10k,Data Scientist
7607,35-39,Man,South Africa,Doctoral degree,Data Scientist,3-5 years,2,Under 1 year,Academics/Education,0-49 employees,5-9,0-999,Other,Small,Small,500.0,less than 10k,Data Scientist
7608,30-34,Man,India,Doctoral degree,Data Scientist,5-10 years,2,1-2 years,Government/Public Service,50-249 employees,3-4,10000-14999,India,Medium,Small,12500.0,between 10k and 30k,Data Scientist
7610,50-54,Woman,Netherlands,Bachelor’s degree,Other,< 1 years,2,No experience,Energy/Mining,"1000-9,999 employees",20+,0-999,Europe,Large,Large,500.0,less than 10k,Other
7612,25-29,Man,India,Master’s degree,Machine Learning Engineer,1-3 years,4,Under 1 year,Academics/Education,50-249 employees,10-14,0-999,India,Medium,Medium,500.0,less than 10k,Data Engineer
7613,30-34,Man,Bangladesh,Master’s degree,Data Analyst,1-3 years,1,Under 1 year,Non-profit/Service,50-249 employees,20+,5000-7499,Other,Medium,Large,6250.0,less than 10k,Data Analyst
7614,45-49,Man,Japan,Bachelor’s degree,Software Engineer,< 1 years,1,Under 1 year,Retail/Sales,0-49 employees,1-2,3000-3999,Other,Small,Small,3500.0,less than 10k,Data Engineer
7615,22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,1,Under 1 year,Online Business/Internet-based Sales,50-249 employees,15-19,20000-24999,India,Medium,Medium,22500.0,between 10k and 30k,Data Scientist
7618,25-29,Man,Malaysia,Bachelor’s degree,Data Analyst,1-3 years,2,Under 1 year,Accounting/Finance,0-49 employees,1-2,10000-14999,Other,Small,Small,12500.0,between 10k and 30k,Data Analyst
7620,45-49,Man,Spain,Master’s degree,Other,1-3 years,2,Under 1 year,Shipping/Transportation,50-249 employees,0,40000-49999,Europe,Medium,No team,45000.0,between 30k and 50k,Other
7621,18-21,Man,India,Bachelor’s degree,Data Analyst,3-5 years,7,2-3 years,Other,"10,000 or more employees",3-4,1000-1999,India,Large,Small,1500.0,less than 10k,Data Analyst
7623,25-29,Man,Viet Nam,Bachelor’s degree,Data Scientist,3-5 years,2,1-2 years,Computers/Technology,"1000-9,999 employees",5-9,7500-9999,Other,Large,Small,8750.0,less than 10k,Data Scientist
7625,30-34,Man,China,Doctoral degree,Software Engineer,3-5 years,2,No experience,Academics/Education,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Engineer
7626,45-49,Man,India,Master’s degree,Program/Project Manager,10-20 years,4,5-10 years,Academics/Education,50-249 employees,20+,20000-24999,India,Medium,Large,22500.0,between 10k and 30k,Data Analyst
7627,40-44,Man,Brazil,Doctoral degree,Other,3-5 years,2,2-3 years,Academics/Education,50-249 employees,0,25000-29999,Other,Medium,No team,27500.0,between 10k and 30k,Other
7628,25-29,Man,China,Bachelor’s degree,Business Analyst,< 1 years,1,1-2 years,Broadcasting/Communications,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Analyst
7632,60-69,Man,USA,Master’s degree,Data Engineer,20+ years,2,2-3 years,Accounting/Finance,"10,000 or more employees",20+,150000-199999,USA,Large,Large,175000.0,more than 125k,Data Engineer
7633,25-29,Man,India,Bachelor’s degree,Data Engineer,1-3 years,3,No experience,Medical/Pharmaceutical,"10,000 or more employees",20+,2000-2999,India,Large,Large,2500.0,less than 10k,Data Engineer
7636,30-34,Man,Russia,Bachelor’s degree,Machine Learning Engineer,5-10 years,2,Under 1 year,Marketing/CRM,50-249 employees,1-2,2000-2999,Europe,Medium,Small,2500.0,less than 10k,Data Engineer
7642,18-21,Man,Bangladesh,Some college,Machine Learning Engineer,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Data Engineer
7646,30-34,Man,Other,Master’s degree,Product Manager,1-3 years,2,Under 1 year,Medical/Pharmaceutical,"10,000 or more employees",3-4,100000-124999,Other,Large,Small,112500.0,between 80k and 125k,Data Analyst
7647,25-29,Man,Australia,Bachelor’s degree,Data Analyst,< 1 years,2,Under 1 year,Military/Security/Defense,"1000-9,999 employees",0,70000-79999,Other,Large,No team,75000.0,between 50k and 80k,Data Analyst
7648,40-44,Woman,Brazil,Master’s degree,Business Analyst,< 1 years,1,Under 1 year,Accounting/Finance,0-49 employees,3-4,0-999,Other,Small,Small,500.0,less than 10k,Data Analyst
7650,45-49,Man,Netherlands,Master’s degree,Software Engineer,20+ years,4,Under 1 year,Online Service/Internet-based Services,"10,000 or more employees",0,70000-79999,Europe,Large,No team,75000.0,between 50k and 80k,Data Engineer
7653,25-29,Man,Nigeria,Some college,Data Analyst,< 1 years,1,2-3 years,Computers/Technology,"10,000 or more employees",5-9,150000-199999,Other,Large,Small,175000.0,more than 125k,Data Analyst
7654,30-34,Man,Germany,Bachelor’s degree,Data Analyst,< 1 years,2,Under 1 year,Broadcasting/Communications,0-49 employees,1-2,3000-3999,Europe,Small,Small,3500.0,less than 10k,Data Analyst
7656,18-21,Man,Russia,Some college,Machine Learning Engineer,3-5 years,2,2-3 years,Accounting/Finance,"1000-9,999 employees",20+,2000-2999,Europe,Large,Large,2500.0,less than 10k,Data Engineer
7660,22-24,Man,India,Master’s degree,Business Analyst,< 1 years,2,Under 1 year,Academics/Education,0-49 employees,5-9,0-999,India,Small,Small,500.0,less than 10k,Data Analyst
7661,22-24,Man,Kenya,Bachelor’s degree,Statistician,< 1 years,4,No experience,Online Service/Internet-based Services,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Scientist
7662,60-69,Other,USA,Master’s degree,Software Engineer,10-20 years,5,No experience,Academics/Education,"1000-9,999 employees",20+,40000-49999,USA,Large,Large,45000.0,between 30k and 50k,Data Engineer
7665,50-54,Man,Brazil,Master’s degree,Software Engineer,10-20 years,4,Under 1 year,Accounting/Finance,0-49 employees,0,10000-14999,Other,Small,No team,12500.0,between 10k and 30k,Data Engineer
7667,35-39,Woman,Indonesia,Bachelor’s degree,Other,1-3 years,1,No experience,Academics/Education,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Other
7668,30-34,Woman,Germany,Doctoral degree,Business Analyst,5-10 years,6,3-4 years,Energy/Mining,"10,000 or more employees",20+,100000-124999,Europe,Large,Large,112500.0,between 80k and 125k,Data Analyst
7669,30-34,Man,USA,Master’s degree,Software Engineer,5-10 years,3,3-4 years,Academics/Education,0-49 employees,3-4,125000-149999,USA,Small,Small,137500.0,more than 125k,Data Engineer
7670,40-44,Man,Sweden,Master’s degree,Other,3-5 years,2,4-5 years,Accounting/Finance,0-49 employees,1-2,100000-124999,Europe,Small,Small,112500.0,between 80k and 125k,Other
7671,18-21,Man,Brazil,Bachelor’s degree,Data Scientist,3-5 years,2,1-2 years,Accounting/Finance,"1000-9,999 employees",20+,3000-3999,Other,Large,Large,3500.0,less than 10k,Data Scientist
7672,30-34,Man,Other,Master’s degree,Software Engineer,3-5 years,8,3-4 years,Academics/Education,0-49 employees,3-4,100000-124999,Other,Small,Small,112500.0,between 80k and 125k,Data Engineer
7674,35-39,Man,India,Master’s degree,Data Scientist,10-20 years,5,4-5 years,Computers/Technology,"10,000 or more employees",10-14,50000-59999,India,Large,Medium,55000.0,between 50k and 80k,Data Scientist
7675,30-34,Man,USA,Bachelor’s degree,Data Analyst,3-5 years,3,No experience,Military/Security/Defense,"10,000 or more employees",20+,80000-89999,USA,Large,Large,85000.0,between 80k and 125k,Data Analyst
7678,45-49,Man,Israel,Bachelor’s degree,Software Engineer,20+ years,3,2-3 years,Military/Security/Defense,"1000-9,999 employees",20+,100000-124999,Other,Large,Large,112500.0,between 80k and 125k,Data Engineer
7681,25-29,Man,Brazil,Master’s degree,Research Scientist,10-20 years,6,4-5 years,Computers/Technology,"1000-9,999 employees",10-14,1000-1999,Other,Large,Medium,1500.0,less than 10k,Data Scientist
7682,30-34,Man,Viet Nam,Bachelor’s degree,Program/Project Manager,5-10 years,1,2-3 years,Computers/Technology,50-249 employees,5-9,20000-24999,Other,Medium,Small,22500.0,between 10k and 30k,Data Analyst
7685,22-24,Man,Poland,Master’s degree,Business Analyst,1-3 years,1,1-2 years,Accounting/Finance,"10,000 or more employees",20+,20000-24999,Europe,Large,Large,22500.0,between 10k and 30k,Data Analyst
7686,45-49,Man,Russia,Some college,Program/Project Manager,20+ years,4,1-2 years,Computers/Technology,0-49 employees,1-2,0-999,Europe,Small,Small,500.0,less than 10k,Data Analyst
7688,25-29,Woman,Other,Doctoral degree,Software Engineer,3-5 years,4,1-2 years,Computers/Technology,0-49 employees,1-2,1000-1999,Other,Small,Small,1500.0,less than 10k,Data Engineer
7691,25-29,Man,China,Master’s degree,Business Analyst,1-3 years,2,Under 1 year,Retail/Sales,50-249 employees,20+,7500-9999,Other,Medium,Large,8750.0,less than 10k,Data Analyst
7692,35-39,Man,Russia,Bachelor’s degree,Software Engineer,20+ years,1,No experience,Computers/Technology,50-249 employees,0,25000-29999,Europe,Medium,No team,27500.0,between 10k and 30k,Data Engineer
7694,45-49,Man,Thailand,I prefer not to answer,Program/Project Manager,20+ years,2,No experience,Medical/Pharmaceutical,"1000-9,999 employees",0,60000-69999,Other,Large,No team,65000.0,between 50k and 80k,Data Analyst
7696,25-29,Woman,Japan,Master’s degree,Software Engineer,10-20 years,1,No experience,Computers/Technology,"1000-9,999 employees",20+,40000-49999,Other,Large,Large,45000.0,between 30k and 50k,Data Engineer
7697,30-34,Man,Nigeria,Bachelor’s degree,Program/Project Manager,< 1 years,2,Under 1 year,Non-profit/Service,50-249 employees,1-2,0-999,Other,Medium,Small,500.0,less than 10k,Data Analyst
7698,55-59,Man,USA,Master’s degree,Program/Project Manager,1-3 years,2,Under 1 year,Medical/Pharmaceutical,"1000-9,999 employees",20+,90000-99999,USA,Large,Large,95000.0,between 80k and 125k,Data Analyst
7699,60-69,Man,Colombia,Master’s degree,Program/Project Manager,10-20 years,3,No experience,Academics/Education,50-249 employees,1-2,20000-24999,Other,Medium,Small,22500.0,between 10k and 30k,Data Analyst
7700,22-24,Man,India,Master’s degree,Data Analyst,1-3 years,2,1-2 years,Online Business/Internet-based Sales,50-249 employees,1-2,1000-1999,India,Medium,Small,1500.0,less than 10k,Data Analyst
7702,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years,7,2-3 years,Other,"1000-9,999 employees",20+,0-999,India,Large,Large,500.0,less than 10k,Data Scientist
7703,30-34,Woman,Germany,Master’s degree,Machine Learning Engineer,3-5 years,1,2-3 years,Computers/Technology,"10,000 or more employees",20+,0-999,Europe,Large,Large,500.0,less than 10k,Data Engineer
7704,35-39,Man,Japan,High school,Other,1-3 years,1,1-2 years,Manufacturing/Fabrication,0-49 employees,0,40000-49999,Other,Small,No team,45000.0,between 30k and 50k,Other
7706,25-29,Man,USA,Bachelor’s degree,Research Scientist,3-5 years,1,1-2 years,Manufacturing/Fabrication,"10,000 or more employees",20+,90000-99999,USA,Large,Large,95000.0,between 80k and 125k,Data Scientist
7710,25-29,Woman,Taiwan,Master’s degree,Machine Learning Engineer,1-3 years,1,1-2 years,Insurance/Risk Assessment,50-249 employees,20+,30000-39999,Other,Medium,Large,35000.0,between 30k and 50k,Data Engineer
7713,25-29,Man,Germany,Master’s degree,Data Engineer,< 1 years,3,Under 1 year,Academics/Education,0-49 employees,3-4,0-999,Europe,Small,Small,500.0,less than 10k,Data Engineer
7715,30-34,Man,Italy,Bachelor’s degree,Other,10-20 years,3,1-2 years,Other,50-249 employees,1-2,25000-29999,Europe,Medium,Small,27500.0,between 10k and 30k,Other
7716,30-34,Man,Brazil,Bachelor’s degree,Software Engineer,1-3 years,2,1-2 years,Non-profit/Service,"1000-9,999 employees",3-4,2000-2999,Other,Large,Small,2500.0,less than 10k,Data Engineer
7718,60-69,Man,Other,Doctoral degree,Research Scientist,20+ years,4,1-2 years,Academics/Education,"1000-9,999 employees",15-19,20000-24999,Other,Large,Medium,22500.0,between 10k and 30k,Data Scientist
7719,60-69,Man,Brazil,Doctoral degree,Data Scientist,20+ years,3,5-10 years,Retail/Sales,0-49 employees,5-9,50000-59999,Other,Small,Small,55000.0,between 50k and 80k,Data Scientist
7722,45-49,Woman,USA,Bachelor’s degree,Other,10-20 years,1,Under 1 year,Academics/Education,"1000-9,999 employees",0,10000-14999,USA,Large,No team,12500.0,between 10k and 30k,Other
7724,22-24,Woman,Egypt,Master’s degree,Data Analyst,3-5 years,5,1-2 years,Academics/Education,250-999 employees,0,0-999,Other,Large,No team,500.0,less than 10k,Data Analyst
7725,45-49,Man,India,Master’s degree,Data Scientist,20+ years,1,5-10 years,Online Service/Internet-based Services,"10,000 or more employees",20+,60000-69999,India,Large,Large,65000.0,between 50k and 80k,Data Scientist
7726,45-49,Man,USA,Master’s degree,Data Scientist,10-20 years,2,2-3 years,Non-profit/Service,"1000-9,999 employees",3-4,150000-199999,USA,Large,Small,175000.0,more than 125k,Data Scientist
